Entry	Gene names  (primary )	Entry name	Gene ontology IDs	Organism	Gene names
P05100	tag	3MG1_ECOLI	GO:0008725; GO:0006284; GO:0046872	Escherichia coli (strain K12)	tag b3549 JW3518
P04395	alkA	3MG2_ECOLI	GO:0006307; GO:0006281; GO:0008725; GO:0052822; GO:0052821; GO:0043916; GO:0003905; GO:0006284; GO:0006974; GO:0005737	Escherichia coli (strain K12)	alkA aidA b2068 JW2053
P30871	ygiF	3PASE_ECOLI	GO:0050355	Escherichia coli (strain K12)	ygiF b3054 JW3026
C4ZVI4	yfbR	5DNU_ECOBW	GO:0005737; GO:0046872; GO:0000166; GO:0016791	Escherichia coli (strain K12 / MC4100 / BW2952)	yfbR BWG_2065
B1X903	yfbR	5DNU_ECODH	GO:0005737; GO:0046872; GO:0000166; GO:0016791	Escherichia coli (strain K12 / DH10B)	yfbR ECDH10B_2453
P76491	yfbR	5DNU_ECOLI	GO:0050897; GO:0005737; GO:0006226; GO:0016311; GO:0042802; GO:0008252; GO:0000166; GO:0010139	Escherichia coli (strain K12)	yfbR b2291 JW2288
P0AC28	ygfA	5FCL_ECOLI	GO:0030272; GO:0005524; GO:0022611; GO:0009396; GO:0035999	Escherichia coli (strain K12)	ygfA b2912 JW2879
P00350	gnd	6PGD_ECOLI	GO:0019521; GO:0050661; GO:0005829; GO:0042802; GO:0006098; GO:0004616; GO:0042803	Escherichia coli (strain K12)	gnd b2029 JW2011
B1X797	pgl	6PGL_ECODH	GO:0017057; GO:0006006; GO:0006098	Escherichia coli (strain K12 / DH10B)	pgl ECDH10B_0835
C4ZXT8	pgl	6PGL_ECOBW	GO:0017057; GO:0006006; GO:0006098	Escherichia coli (strain K12 / MC4100 / BW2952)	pgl BWG_0619
P52697	pgl	6PGL_ECOLI	GO:0017057; GO:0005829; GO:0006006; GO:0006098	Escherichia coli (strain K12)	pgl ybhE b0767 JW0750
B1XHL3	aaeA	AAEA_ECODH	GO:0016021; GO:0005886; GO:0055085	Escherichia coli (strain K12 / DH10B)	aaeA ECDH10B_3418
C4ZSX9	aaeA	AAEA_ECOBW	GO:0016021; GO:0005886; GO:0055085	Escherichia coli (strain K12 / MC4100 / BW2952)	aaeA BWG_2942
P46482	aaeA	AAEA_ECOLI	GO:0046942; GO:0006855; GO:0015238; GO:0016021; GO:0005886; GO:0055085; GO:0006810	Escherichia coli (strain K12)	aaeA yhcQ b3241 JW3210
C4ZSX8	aaeB	AAEB_ECOBW	GO:0016021; GO:0005886; GO:0006810	Escherichia coli (strain K12 / MC4100 / BW2952)	aaeB BWG_2941
P46481	aaeB	AAEB_ECOLI	GO:0046942; GO:0016021; GO:0005886; GO:0006810	Escherichia coli (strain K12)	aaeB yhcP b3240 JW3209
P67662	aaeR	AAER_ECOLI	GO:0003677; GO:0006352; GO:0045893; GO:0006355; GO:0003700; GO:0006351	Escherichia coli (strain K12)	aaeR yhcS b3243 JW3212
C4ZSY0	aaeX	AAEX_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	aaeX BWG_2943
B1XHL4	aaeX	AAEX_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	aaeX ECDH10B_3419
P46478	aaeX	AAEX_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	aaeX yhcR b3242 JW5541
B1XDP2	aas	AAS_ECODH	GO:0005524; GO:0008779; GO:0006631; GO:0016021; GO:0008922; GO:0008654; GO:0005886	Escherichia coli (strain K12 / DH10B)	aas ECDH10B_3006
P31119	aas	AAS_ECOLI	GO:0005524; GO:0008779; GO:0006631; GO:0016021; GO:0008922; GO:0008654; GO:0005886	Escherichia coli (strain K12)	aas b2836 JW2804
C4ZZY9	aas	AAS_ECOBW	GO:0005524; GO:0008779; GO:0006631; GO:0016021; GO:0008922; GO:0008654; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	aas BWG_2572
P00509	aspC	AAT_ECOLI	GO:0004069; GO:0009094; GO:0033585; GO:0080130; GO:0004838; GO:0005737; GO:0005829; GO:0042802; GO:0030170	Escherichia coli (strain K12)	aspC b0928 JW0911
C4ZVI3	prr	ABDH_ECOBW	GO:0033737; GO:0051287; GO:0019145; GO:0009447	Escherichia coli (strain K12 / MC4100 / BW2952)	prr BWG_1269
B1XDF5	prr	ABDH_ECODH	GO:0033737; GO:0051287; GO:0019145; GO:0009447	Escherichia coli (strain K12 / DH10B)	prr ECDH10B_1574
P77674	prr	ABDH_ECOLI	GO:0033737; GO:0051287; GO:0019145; GO:0005829; GO:0042802; GO:0009447	Escherichia coli (strain K12)	prr ydcW b1444 JW1439
P76052	abgB	ABGB_ECOLI	GO:0005737; GO:0046657; GO:0071713; GO:0046982	Escherichia coli (strain K12)	abgB ydaI b1337 JW1331 ECK1333
P77357	abgA	ABGA_ECOLI	GO:0005737; GO:0046657; GO:0071713; GO:0046982	Escherichia coli (strain K12)	abgA ydaJ b1338 JW5205
P46133	abgT	ABGT_ECOLI	GO:0016021; GO:0015814; GO:0015558; GO:0005886; GO:0015291	Escherichia coli (strain K12)	abgT ydaH b1336 JW5822 ECK1332
P77744	abgR	ABGR_ECOLI	GO:0003677; GO:0003700; GO:0006351	Escherichia coli (strain K12)	abgR b1339 JW1333
P75747	abrB	ABRB_ECOLI	GO:0016021; GO:0005886; GO:0010628	Escherichia coli (strain K12)	abrB ybgN b0715 JW5097 ECK0704
C4ZRS7	accA	ACCA_ECOBW	GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:2001295	Escherichia coli (strain K12 / MC4100 / BW2952)	accA BWG_0177
B1XD54	accA	ACCA_ECODH	GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:2001295	Escherichia coli (strain K12 / DH10B)	accA ECDH10B_0165
P0ABD5	accA	ACCA_ECOLI	GO:0005524; GO:0009329; GO:0003989; GO:0005737; GO:0005829; GO:0006633; GO:0042802; GO:0042759; GO:2001295	Escherichia coli (strain K12)	accA b0185 JW0180
P24182	accC	ACCC_ECOLI	GO:0005524; GO:0003989; GO:0004075; GO:0005737; GO:0005829; GO:0006633; GO:2001295; GO:0046872; GO:0045717	Escherichia coli (strain K12)	accC fabG b3256 JW3224
P0A9Q5	accD	ACCD_ECOLI	GO:0005524; GO:0003677; GO:0009329; GO:0003989; GO:0005829; GO:0006633; GO:0042759; GO:0003729; GO:2001295; GO:0017148; GO:0008270	Escherichia coli (strain K12)	accD dedB usg b2316 JW2313
B1X927	accD	ACCD_ECODH	GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:2001295; GO:0008270	Escherichia coli (strain K12 / DH10B)	accD ECDH10B_2478
C4ZTB5	mhpF	ACDH_ECOBW	GO:0019380; GO:0051287; GO:0008774	Escherichia coli (strain K12 / MC4100 / BW2952)	mhpF BWG_0240
P77580	mhpF	ACDH_ECOLI	GO:0019380; GO:0051287; GO:0008774	Escherichia coli (strain K12)	mhpF mhpE b0351 JW0342
