NET1_NODE	NET2_NODE
1	1038
2	1184
3	3987
4	2062
5	223
6	52
7	536
8	884
9	3752
10	1185
11	3475
12	3476
13	6177
14	1630
15	2408
16	2407
17	5265
18	4558
19	6395
20	4530
21	796
22	2897
23	577
24	3190
25	911
26	1365
27	915
28	3220
29	569
30	1183
31	3263
32	3259
33	2393
34	90
35	6314
36	3620
37	6470
38	6471
39	5924
40	843
41	1031
42	6472
43	5524
44	1138
45	1326
46	1325
47	3094
48	3092
49	6403
50	6405
51	2883
52	3396
53	769
54	358
55	976
56	975
57	376
58	1046
59	3835
60	4175
61	2761
62	523
63	3789
64	5175
65	6695
66	555
67	147
68	931
69	422
70	3512
71	287
72	3306
73	2198
74	2188
75	5151
76	191
77	3001
78	3000
79	281
80	1018
81	3679
82	1317
83	2281
84	3015
85	13
86	4202
87	2519
88	1770
89	1771
90	3065
91	3064
92	5511
93	3090
94	2015
95	1189
96	2898
97	5093
98	5525
99	3508
100	5464
101	3924
102	184
103	400
104	5450
105	3397
106	2027
107	1636
108	2264
109	1457
110	1997
111	429
112	165
113	2236
114	553
115	311
116	411
117	412
118	4092
119	2579
120	1410
121	1412
122	3106
123	2640
124	4044
125	5847
126	4141
127	2774
128	605
129	606
130	4537
131	6171
132	596
133	595
134	3960
135	3273
136	2810
137	9
138	356
139	5009
140	3339
141	1077
142	2004
143	2003
144	252
145	1548
146	4893
147	4296
148	5044
149	4445
150	330
151	5722
152	4740
153	2344
154	964
155	1098
156	308
157	1611
158	1376
159	2624
160	1020
161	4958
162	2007
163	2033
164	1878
165	2009
166	1073
167	5943
168	1993
169	5109
170	1078
171	1828
172	489
173	1462
174	1628
175	2505
176	6449
177	1730
178	5328
179	3629
180	1314
181	6124
182	3628
183	6479
184	1300
185	3626
186	5586
187	224
188	1395
189	1396
190	2630
191	54
192	1026
193	3698
194	53
195	3851
196	6611
197	6612
198	2457
199	1644
200	4911
201	1200
202	325
203	661
204	6017
205	926
206	114
207	3041
208	5448
209	2949
210	4952
211	3077
212	4782
213	3042
214	4783
215	130
216	1162
217	128
218	229
219	1082
220	2645
221	168
222	3316
223	3315
224	538
225	1219
226	1344
227	4245
228	1924
229	5938
230	2212
231	3566
232	2070
233	4506
234	5494
235	2475
236	233
237	1736
238	5939
239	1500
240	6236
241	576
242	3817
243	5940
244	5941
245	6293
246	1791
247	6294
248	1195
249	816
250	6109
251	1713
252	1460
253	6577
254	1697
255	4100
256	2059
257	909
258	382
259	3441
260	3442
261	255
262	1053
263	1732
264	119
265	623
266	1220
267	1221
268	6622
269	2238
270	4534
271	1488
272	4538
273	1128
274	6201
275	3450
276	1541
277	1834
278	2056
279	2055
280	364
281	2294
282	2835
283	5814
284	745
285	614
286	2694
287	6572
288	1774
289	5425
290	1482
291	377
292	5599
293	3203
294	971
295	1764
296	1383
297	2852
298	5324
299	1689
300	1498
301	1687
302	6091
303	4143
304	5527
305	3225
306	3227
307	1600
308	1323
309	2253
310	4017
311	3226
312	4956
313	2702
314	883
315	1436
316	2384
317	4527
318	982
319	4751
320	3759
321	6605
322	1657
323	4146
324	877
325	878
326	559
327	1625
328	6239
329	2948
330	1622
331	2106
332	6089
333	5399
334	2590
335	3050
336	3459
337	1743
338	1701
339	1702
340	4440
341	6012
342	366
343	6595
344	2513
345	2514
346	2515
347	1398
348	6628
349	1397
350	5952
351	5587
352	6351
353	6425
354	0
355	66
356	3635
357	838
358	1309
359	3999
360	2447
361	2303
362	2292
363	925
364	5094
365	5962
366	2541
367	4147
368	1066
369	4068
370	18
371	5671
372	1061
373	987
374	4833
375	5956
376	1646
377	5957
378	3252
379	5958
380	4090
381	5959
382	5960
383	6392
384	6393
385	6394
386	2813
387	78
388	3877
389	5409
390	1125
391	4424
392	4645
393	2968
394	2543
395	2545
396	2544
397	4215
398	304
399	6046
400	4988
401	977
402	1985
403	401
404	1307
405	2189
406	1193
407	4664
408	368
409	3614
410	3840
411	6443
412	5104
413	1065
414	2011
415	5749
416	6208
417	1586
418	2569
419	563
420	2570
421	2571
422	89
423	441
424	6150
425	210
426	1964
427	3965
428	1212
429	1331
430	1006
431	5112
432	4029
433	4282
434	6229
435	812
436	2386
437	6230
438	6231
439	6232
440	2248
441	2887
442	5400
443	2510
444	6049
445	3937
446	431
447	1386
448	35
449	3465
450	3003
451	5966
452	1883
453	4094
454	6104
455	548
456	2554
457	2553
458	1796
459	4502
460	5216
461	4549
462	1463
463	4407
464	1072
465	6407
466	6408
467	1328
468	1064
469	3747
470	6409
471	1814
472	3332
473	6410
474	6411
475	4495
476	418
477	4481
478	5309
479	1861
480	2278
481	2279
482	1151
483	102
484	1206
485	467
486	4890
487	1781
488	3272
489	1035
490	106
491	424
492	493
493	497
494	1422
495	1980
496	2171
497	5638
498	2446
499	3818
500	1087
501	4563
502	1960
503	1483
504	5040
505	1356
506	4162
507	539
508	2005
509	6415
510	541
511	2283
512	2284
513	2285
514	4294
515	4241
516	5965
517	2286
518	5463
519	6663
520	1117
521	1990
522	791
523	4883
524	1108
525	1315
526	2336
527	2337
528	194
529	2596
530	772
531	759
532	338
533	6384
534	5752
535	2771
536	2772
537	1655
538	2536
539	2951
540	4863
541	2950
542	4750
543	983
544	581
545	5013
546	389
547	47
548	2688
549	2689
550	1894
551	6330
552	1192
553	135
554	136
555	5022
556	123
557	841
558	2432
559	4658
560	562
561	4638
562	3994
563	142
564	2762
565	3134
566	3136
567	2711
568	5903
569	2289
570	3982
571	5219
572	166
573	2785
574	2786
575	2224
576	5383
577	2229
578	4070
579	2978
580	1140
581	5134
582	57
583	4126
584	1017
585	3753
586	522
587	2789
588	6519
589	6221
590	5352
591	1091
592	4214
593	3648
594	5083
595	4708
596	2726
597	2729
598	3880
599	6007
600	289
601	4580
602	5067
603	578
604	2984
605	2985
606	6691
607	2074
608	117
609	1907
610	4586
611	551
612	4408
613	2356
614	1207
615	1943
616	153
617	5132
618	1598
619	3574
620	5127
621	5131
622	4426
623	979
624	6068
625	4395
626	3333
627	1413
628	6285
629	502
630	72
631	963
632	6312
633	4227
634	5130
635	3892
636	5128
637	5133
638	2310
