NO.	Name
0	CYSW
1	YEHX
2	DPPC
3	YLIA
4	CREC
5	TORR
6	PHOB
7	PSTA
8	LYSA
9	LYSR
10	GLTK
11	GLNQ
12	YHJK
13	YJCC
14	TSF
15	RPSB
16	DNAB
17	DNAG
18	RPLL
19	RPSG
20	BTUB
21	MURI
22	TRMA
23	RPLN
24	RPOE
25	NADB
26	RPMA
27	RPLU
28	CHEW
29	TSR
30	CHER
31	TAP
32	NIKD
33	YDDQ
34	HISJ
35	ARGT
36	FLIY
37	GLNP
38	RECD
39	ARGA
40	ILVE
41	ILVM
42	CYOB
43	CYOA
44	NUOC
45	HYFI
46	UBIF
47	UBIH
48	NUOL
49	YNJD
50	XDHB
51	XDHC
52	LEUA
53	ILVH
54	XDHD
55	THRS
56	PHET
57	TATA
58	TATB
59	ACRD
60	YEGM
61	PABB
62	TRPA
63	TRPB
64	DNAE
65	RPSE
66	PRLA
67	ISPG
68	NDK
69	HISS
70	UGPA
71	YCJP
72	TRG
73	SECA
74	SECB
75	TORS
76	TORT
77	YEGO
78	YEGB
79	BGLB
80	BGLA
81	GALT
82	GALE
83	GROEL
84	SAPC
85	OPPC
86	FLIN
87	FHIA
88	YHDZ
89	ACCA
90	YAEL
91	RUVB
92	RUVA
93	SAPF
94	GYRB
95	RECF
96	GSPE
97	GSPF
98	POTC
99	POTF
100	FLIM
101	PRFB
102	LYSS
103	GALK
104	RPLQ
105	INFA
106	TORA
107	TORD
108	TORC
109	PARC
110	SSB
111	ALDA
112	ALDB
113	RPLC
114	RPSS
115	RPSJ
116	FLIC
117	FLII
118	FLIE
119	RPOA
120	FLIS
121	FLID
122	YIGP
123	UBIB
124	RECG
125	UBIE
126	HIPA
127	HIPB
128	PFLA
129	YFID
130	RPON
131	YGAA
132	NUSG
133	SECE
134	NUPG
135	YGGX
136	CADA
137	LDCC
138	CRR
139	PTSI
140	RPLX
141	SELB
142	SBCB
143	EDD
144	EDA
145	THIP
146	TBPA
147	POTB
148	POTI
149	RPLA
150	NANE
151	NANK
152	RPSI
153	RFBD
154	GMD
155	KDPC
156	KDPA
157	DKSA
158	MRCB
159	YADB
160	YFCS
161	YCBS
162	ALDH
163	FUSA
164	TUF
165	NARG
166	NARH
167	RPOZ
168	MHPA
169	MHPB
170	YKGE
171	YKGF
172	CHEB
173	CYTR
174	GALR
175	YBIW
176	NAPB
177	RFAC
178	RFAL
179	RFAF
180	RNPA
181	RFAD
182	RPMH
183	YNFE
184	DMSA
185	PEPA
186	VALS
187	ACPP
188	FABG
189	UVRA
190	UVRD
191	GCL
192	POXB
193	YRAI
194	RPOD
195	NUSA
196	RPOH
197	DNAK
198	RNE
199	MUTT
200	YACA
201	PHES
202	ERFK
203	GLNH
204	NARP
205	FIMZ
206	RPSM
207	MIAA
208	ORN
209	PTSG
210	NAGE
211	YCJX
212	YCJF
213	RPLD
214	UVRY
215	BARA
216	FRUK
217	FRWC
218	RPSK
219	FRWB
220	HISD
221	HISA
222	HISB
223	FECD
224	FECC
225	YBGQ
226	MALF
227	MALK
228	YAGR
229	CYSH
230	CYSJ
231	NAPC
232	NAPH
233	HUPB
234	LON
235	YBHS
236	YHHJ
237	YBHR
238	UBIX
239	RPLS
240	ACRF
241	RPLP
242	RPOS
243	PHNK
244	MALI
245	THIG
246	THIH
247	ISCS
248	CYSG
249	CYSI
250	YIIS
251	YIIT
252	YEIT
253	YEIA
254	TOLQ
255	YBGC
256	LEPA
257	ERA
258	PDXJ
259	YHDY
260	YHDX
261	KDPD
262	PABA
263	ENTC
264	RPLF
265	SFMD
266	ARGB
267	MANY
268	AGAV
269	MANZ
270	MANX
271	PURF
272	PURL
273	MUKB
274	MUKF
275	ACRB
276	FTSZ
277	FRDD
278	AMPC
279	FSA
280	TALC
281	NARL
282	NARI
283	HTRB
284	DDG
285	INFC
286	RPLR
287	FLIG
288	FLIF
289	FIXA
290	YDIR
291	GIDA
292	ASNC
293	NUOF
294	GMK
295	RPE
296	ACCD
297	GUAA
298	BIOF
299	AMPG
300	BOLA
301	OPPD
302	DPPF
303	PYRI
304	PYRB
305	RHO
306	FLHD
307	MOTA
308	EXBD
309	ARTJ
310	FLIA
311	DNAN
312	YEAG
313	GLTB
314	GLTD
315	CVPA
316	ACTP
317	ACS
318	SECD
319	YAJC
320	LIGA
321	FLIQ
322	ASNB
323	TGT
324	MOBA
325	MOEA
326	CBL
327	NAC
328	PTSA
329	QUEA
330	GMHB
331	YRAO
332	PHOP
333	OXYR
334	LPCA
335	RPLY
336	PHNI
337	PHNJ
338	PHNM
339	MIOC
340	GIDB
341	PURD
342	PURK
343	MDLA
344	MDLB
345	FRR
346	MURA
347	FTSW
348	FTSQ
349	SECG
350	FTSL
351	NARV
352	RHAA
353	RHAR
354	CDD
355	SANA
356	HFQ
357	PNP
358	RHAT
359	WCAG
360	NAGD
361	YNFI
362	PURC
363	DPPD
364	SPOT
365	TOLR
366	FLHA
367	TONB
368	ATPF
369	ATPI
370	CSGF
371	CSGE
372	RPLB
373	INFB
374	CYSD
375	PHNC
376	RPSH
377	RHTC
378	RHTB
379	RELA
380	HSCA
381	FDX
382	YFCX
383	YFCY
384	MSBA
385	KDSB
386	LPXK
387	ALSB
388	MGLC
389	CCME
390	CCMC
391	RHAD
392	CCMA
393	CCMG
394	LACY
395	THRB
396	THRC
397	THRA
398	DAPA
399	DAPB
400	RECN
401	HTRE
402	ECPD
403	CLPB
404	SMS
405	TRER
406	PURR
407	RNFC
408	RNFG
409	UVRC
410	FLGI
