NET1_NODE	NET2_NODE
5	260
12	708
23	438
31	428
35	732
40	562
24	671
58	673
66	365
69	412
71	296
72	722
79	54
90	620
104	59
106	687
109	358
113	104
119	158
123	379
126	204
124	199
135	201
73	465
141	325
156	154
159	130
161	314
172	432
177	67
178	804
180	803
184	62
122	64
185	119
251	783
252	131
253	132
127	574
258	490
259	765
186	327
265	329
269	693
1	788
282	148
284	150
290	149
298	146
303	779
162	309
18	352
350	27
188	767
359	170
25	674
364	251
365	252
274	8
375	668
376	403
378	777
383	188
386	198
388	417
389	162
390	734
403	753
52	73
410	531
412	88
173	650
422	175
424	475
427	256
80	516
442	581
447	500
81	305
453	319
455	136
458	240
429	679
461	402
462	306
463	307
464	773
468	669
469	705
470	720
255	605
142	582
485	206
13	391
488	384
489	366
490	241
491	113
492	52
493	95
107	544
494	225
495	81
360	794
285	82
354	338
19	626
190	446
191	234
502	675
503	32
131	56
275	647
322	548
264	547
511	75
323	390
514	594
304	470
519	618
521	359
522	173
524	165
291	196
526	174
527	498
528	538
163	161
530	10
2	317
535	211
525	192
319	45
20	76
550	610
531	460
430	291
305	310
551	347
552	625
558	776
413	652
561	651
562	684
431	599
563	167
564	163
476	583
566	111
567	203
569	752
570	591
286	15
114	485
456	112
512	389
586	30
588	313
292	151
193	49
592	336
82	195
443	194
573	404
287	89
594	648
59	698
128	380
143	456
613	254
160	226
266	545
615	222
616	537
618	229
622	622
306	743
432	434
414	666
624	654
628	628
632	636
91	740
539	193
635	323
84	607
195	430
53	663
660	13
661	355
144	576
598	385
459	99
643	223
544	388
325	387
664	792
665	793
667	800
668	801
103	304
415	257
129	542
165	670
416	179
145	710
404	766
288	661
355	397
696	395
699	315
701	386
702	26
644	28
26	6
703	102
545	48
680	761
472	712
707	115
708	791
690	261
254	238
730	227
200	106
731	444
645	749
583	613
681	643
276	466
735	410
477	406
736	747
737	469
361	169
741	615
201	343
746	416
382	414
362	51
320	405
748	349
749	435
714	90
587	664
738	543
754	459
202	205
756	344
757	217
760	285
166	33
92	603
762	374
626	333
60	228
765	768
546	153
715	527
766	462
767	426
204	171
553	491
775	701
776	370
293	369
716	431
167	755
793	442
794	745
771	58
572	60
638	606
797	422
799	738
800	427
6	539
670	274
466	772
568	614
815	125
67	569
397	564
801	216
825	328
408	629
417	292
85	510
828	20
829	3
433	578
619	230
830	681
831	672
272	31
833	521
835	530
14	529
836	340
367	393
487	38
839	508
840	443
50	609
207	41
849	138
850	268
540	155
838	339
574	247
855	660
647	499
856	208
444	468
857	86
620	476
267	341
860	592
862	557
863	265
294	638
802	688
208	360
777	24
866	23
307	282
377	394
68	335
627	439
157	87
876	700
717	447
803	756
878	324
841	330
599	741
328	331
851	326
369	237
882	9
21	298
140	598
772	493
912	572
913	680
434	96
331	677
418	556
595	128
917	348
332	616
513	278
916	676
648	580
210	235
295	757
318	36
925	214
542	105
706	762
351	589
27	586
932	220
115	239
520	617
936	621
935	619
884	184
940	707
600	770
28	467
763	68
885	399
256	451
471	689
507	322
869	356
950	124
179	535
951	694
547	558
333	351
42	658
952	437
29	764
278	272
391	533
954	39
7	346
956	585
336	273
580	602
398	97
300	147
887	759
958	66
261	723
133	381
43	308
959	597
370	19
960	644
961	724
733	289
212	287
781	567
508	555
538	513
136	546
939	364
888	590
575	74
972	213
601	108
671	94
816	284
672	57
435	782
36	372
110	210
479	453
989	101
250	107
116	121
436	799
213	14
890	84
146	299
858	697
891	5
44	141
22	100
543	47
308	280
998	704
309	79
758	484
1000	300
880	758
384	263
449	312
529	541
1004	551
581	655
86	721
1005	182
721	488
215	612
437	172
457	657
74	4
584	457
310	678
94	653
1012	249
918	91
975	492
61	737
1013	477
216	135
1015	624
423	187
15	71
976	109
818	718
262	219
51	649
16	565
941	566
988	571
819	570
532	11
263	682
673	123
919	143
371	659
273	528
805	449
806	301
301	145
870	332
1022	714
969	160
739	12
893	733
942	474
1023	473
922	600
339	774
480	242
943	736
219	63
844	396
577	487
1024	483
659	744
807	536
1025	277
75	269
1017	686
1027	790
650	168
445	373
999	775
983	472
220	166
768	429
722	623
695	16
296	40
425	35
895	716
311	719
1006	464
1029	180
1016	186
134	375
924	34
1030	279
34	423
1032	2
257	1
279	0
500	197
1031	421
340	667
585	706
399	207
534	72
984	501
221	250
1033	726
993	103
985	209
1035	191
820	785
898	769
990	368
674	731
945	450
426	77
711	637
357	267
496	85
1040	382
1041	709
225	140
634	93
845	452
946	367
226	231
1044	248
62	190
602	520
1046	117
872	44
505	55
809	236
105	445
63	627
991	588
392	463
691	127
76	270
438	534
450	98
1055	183
37	83
120	70
130	478
639	69
1056	156
108	746
724	181
372	218
920	383
1062	448
481	525
933	303
725	789
864	266
796	350
1045	482
603	703
169	608
1010	281
686	342
87	320
965	288
32	244
506	286
834	519
454	318
88	713
