CJ0001	DNAA
CJ0002	DNAN
CJ0005C	YDHB
CJ0009	GLTD
CJ0012C	PSTS
CJ0013	ILVD
CJ0014C	YBBP
CJ0015C	RFFH
CJ0016	NADB
CJ0021C	PHOU
CJ0023	PURB
CJ0025C	FLHA
CJ0026C	RPSE
CJ0027	PYRG
CJ0028	RECJ
CJ0034C	RELA
CJ0036	TORC
CJ0038C	ALSB
CJ0039C	PRFC
CJ0042	FLGD
CJ0045C	HISQ
CJ0053C	BASS
CJ0054C	YGDH
CJ0056C	FLIK
CJ0058	YJCC
CJ0059C	FLIN
CJ0060C	FLIM
CJ0061C	FLIA
CJ0063C	MIND
CJ0064C	FTSY
CJ0065C	FOLK
CJ0066C	KDPE
CJ0067	NAGA
CJ0070C	RPMF
CJ0072C	GLGB
CJ0073C	ARCB
CJ0074C	YKGF
CJ0075C	YKGE
CJ0081	APPC
CJ0082	CYDB
CJ0085C	ARTI
CJ0086C	UGPC
CJ0087	ASPA
CJ0088	DCUA
CJ0091	LPP
CJ0092	HDEB
CJ0093	YHBZ
CJ0094	RPLU
CJ0095	RPMA
CJ0097	PROB
CJ0100	WZC
CJ0103	ATPF
CJ0104	ATPH
CJ0106	ATPG
CJ0107	ATPD
CJ0110	TOLR
CJ0113	PAL
CJ0115	SLYD
CJ0116	FABD
CJ0117	DEOD
CJ0118	GLPK
CJ0120	SUCA
CJ0121	YBEY
CJ0123C	PSTC
CJ0125C	DKSA
CJ0126C	MRCB
CJ0127C	ACCD
CJ0130	TYRA
CJ0133	ZIPA
CJ0134	THRB
CJ0138	CAIA
CJ0140	CDD
CJ0144	TRG
CJ0145	GABT
CJ0146C	TRXB
CJ0147C	TRXA
CJ0148C	YRAN
CJ0149C	METL
CJ0154C	PHOB
CJ0155C	ICDA
CJ0156C	LEUA
CJ0158C	PANB
CJ0159C	BTUB
CJ0160C	YBBL
CJ0161C	MOAA
CJ0162C	HSDS
CJ0163C	MBHA
CJ0166	MIAA
CJ0168C	EUTJ
CJ0171	MURB
CJ0172C	ASPC
CJ0173C	POTG
CJ0175C	POTD
CJ0177	SULA
CJ0179	EXBB
CJ0180	EXBD
CJ0181	TATC
CJ0182	SBMA
CJ0185C	PHNA
CJ0187C	PURN
CJ0188C	SMS
CJ0189C	MODF
CJ0190C	MCRB
CJ0192C	CLPP
CJ0193C	PURR
CJ0194	FOLE
CJ0195	FLII
CJ0197C	DAPB
CJ0198C	AROK
CJ0200C	ALAS
CJ0206	THRS
CJ0207	INFC
CJ0223	CRED
CJ0224	ARGC
CJ0225	YBEZ
CJ0226	ARGB
CJ0227	ARGD
CJ0228C	FHLA
CJ0229	LACA
CJ0231C	NRDB
CJ0233C	YECC
CJ0237	CYNT
CJ0239C	PIOO
CJ0240C	ISCS
CJ0241C	YGEZ
CJ0243C	TRPE
CJ0244	RPMI
CJ0245	RPLT
CJ0249	BAER
CJ0251C	GALR
CJ0252	MOAC
CJ0253	RPOZ
CJ0254	NAPB
CJ0256	FLGF
CJ0257	BISC
CJ0261C	BIOC
CJ0262C	TAP
CJ0264C	TORZ
CJ0268C	HFLC
CJ0269C	ILVE
CJ0271	BCP
CJ0273	FABZ
CJ0274	LPXD
CJ0276	MREB
CJ0281C	TALB
CJ0283C	CHEW
CJ0284C	CHEA
CJ0285C	CHEY
CJ0286C	YEAA
CJ0287C	GREA
CJ0289C	DSBC
CJ0290C	TOLB
CJ0292C	FIMC
CJ0293	SURE
CJ0294	THIF
CJ0295	YAFP
CJ0296C	PAND
CJ0297C	PANC
CJ0302C	YEBS
CJ0303C	MODA
CJ0306C	BIOF
CJ0307	BIOA
CJ0311	MCRC
CJ0312	PTH
CJ0314	LYSA
CJ0316	PHEA
CJ0319	FLIG
CJ0320	RPLX
CJ0321	TKTA
CJ0322	DEDD
CJ0324	UBIE
CJ0325	XSEA
CJ0326	SERC
CJ0327	FRUR
CJ0328C	FABH
CJ0329C	PLSX
CJ0331C	ATPI
CJ0332C	NDK
CJ0333C	FDOH
CJ0334	AHPC
CJ0335	FLHB
CJ0336C	MOTB
CJ0337C	MOTA
CJ0340	RIHA
CJ0341C	RECN
CJ0348	TRPB
CJ0349	TRPA
CJ0350	TRMU
CJ0351	FLIQ
CJ0353C	GPPA
CJ0354C	DMSB
CJ0355C	CUSR
CJ0356C	NLPI
CJ0360	GLMM
CJ0361	LSPA
CJ0362	SPEC
CJ0365C	CUSC
CJ0367C	ACRE
CJ0368C	UIDR
CJ0369C	NAPH
CJ0370	RPSU
CJ0371	GLGP
CJ0372	YFID
CJ0373	PDXB
CJ0375	NRDF
CJ0382C	NUSB
CJ0383C	RIBH
CJ0384C	CHEZ
CJ0386	FEOB
CJ0390	YRFF
CJ0391C	GLF
CJ0392C	PYKF
CJ0399	CVPA
CJ0400	FUR
CJ0401	LYSS
CJ0402	GLYA
CJ0404	ARTQ
CJ0405	MHPA
CJ0408	PFKA
CJ0409	SDHA
CJ0410	FRDB
CJ0411	YBBN
CJ0412	YJJK
CJ0414	YDIR
CJ0415	YDIS
CJ0416	ERFK
CJ0417	YNFE
CJ0420	IMP
CJ0422C	PHNB
CJ0424	BTUE
CJ0426	UUP
CJ0428	SSPA
CJ0429C	YIGZ
CJ0432C	MURD
CJ0433C	MRAY
CJ0435	YGFF
CJ0437	FRDA
CJ0441	ACPP
CJ0442	FABF
CJ0443	ACCA
CJ0447	HISJ
CJ0448C	TSR
CJ0449C	SDAB
CJ0450C	RPMB
CJ0451	RPE
CJ0454C	YCHN
CJ0460	NUSA
CJ0463	CYSW
CJ0465C	-
CJ0466	CRP
CJ0467	YECS
CJ0469	YHDZ
CJ0470	SELB
CJ0471	RPMG
CJ0472	SECE
CJ0473	NUSG
CJ0474	RPLK
CJ0475	RPLA
CJ0476	RPLJ
CJ0477	RPLL
CJ0480C	BIPA
CJ0481	NANA
CJ0482	CADB
CJ0483	UXAA
CJ0484	EXUT
CJ0485	SRLD
CJ0488	FHUB
CJ0489	ALDA
CJ0490	GABD
CJ0491	RPSL
CJ0492	RPSG
CJ0493	FUSA
CJ0494	FIMI
CJ0495	GLGX
CJ0498	TRPC
CJ0499	PFLA
CJ0503C	INFB
CJ0505C	PROA
CJ0510C	CLPB
CJ0512	PURC
CJ0513	FHUC
CJ0514	COPA
CJ0516	PLSC
CJ0518	HTPG
CJ0520	MALT
CJ0524	MOGA
CJ0526C	FLIE
CJ0527C	FLGC
CJ0531	RPOA
CJ0532	MDH
CJ0533	SUCC
CJ0534	SUCD
CJ0535	NUOI
CJ0536	ILVI
CJ0537	GCL
CJ0538	KATG
CJ0539	BIRA
CJ0542	HEMA
CJ0547	PURK
CJ0548	FLID
CJ0549	FLIS
CJ0550	GLGA
CJ0551	RPMD
CJ0553	PTSA
CJ0556	HISP
CJ0560	RNT
CJ0562	DNAB
CJ0564	MGLC
CJ0568	YRFE
CJ0569	HUPA
CJ0572	RIBB
CJ0574	ILVB
CJ0575	ILVH
CJ0576	LPXA
CJ0579C	TATB
CJ0581	MUTT
CJ0582	THRA
CJ0584	LIVH
CJ0586	LIGA
CJ0589	RIBF
CJ0590	RPLW
CJ0595C	NTH
CJ0596	SURA
CJ0599	OMPA
CJ0604	ACEB
CJ0605	ABGA
CJ0606	MACA
CJ0610C	YLCC
CJ0613	PQIA
CJ0615	PSTA
CJ0618	HOLB
CJ0621	HYBC
CJ0622	HYPF
CJ0624	HYPC
CJ0626	HYPE
CJ0627	FTSQ
CJ0628	ACTP
CJ0632	ILVC
CJ0633	ACRD
CJ0636	PHNC
CJ0637C	MSRA
CJ0639C	ADK
CJ0640C	ASPS
CJ0641	PRLA
CJ0643	TORR
CJ0644	HYFR
CJ0646	RLPA
CJ0647	GLND
CJ0653C	PEPQ
CJ0661C	HFLX
CJ0662C	HSLU
CJ0663C	HSLV
CJ0664C	RPLI
CJ0665C	ARGG
CJ0668	YJEE
CJ0670	RPON
CJ0672	MGLB
CJ0679	KDPD
CJ0680C	UVRB
CJ0682	RPLB
CJ0684	PRIA
CJ0687C	FLGH
CJ0688	PTA
CJ0689	ACKA
CJ0692C	YEAG
CJ0696	FTSZ
CJ0697	FLGG
CJ0699C	GLNA
CJ0700	HISA
CJ0701	YHBU
CJ0702	PURE
CJ0703	DCUS
CJ0704	GLYQ
CJ0706	YGAA
CJ0709	FFH
CJ0710	RPSP
CJ0712	RIMM
CJ0713	TRMD
CJ0714	RPLS
CJ0715	CYSP
CJ0718	DNAE
CJ0720C	ENVZ
CJ0722C	PRMA
CJ0725C	MOAB
CJ0729	HEML
CJ0730	UGPA
CJ0731	POTC
CJ0734C	ARGT
CJ0739	PLDB
CJ0741	KDPC
CJ0742	ASNB
CJ0747	FIME
CJ0748	NANT
CJ0758	GRPE
CJ0760	PLDA
CJ0762C	MALY
CJ0763C	CYSE
CJ0764C	SPEA
CJ0765C	HISS
CJ0766C	TMK
CJ0767C	COAD
CJ0768C	UBIX
CJ0769C	SDAC
CJ0772C	NLPA
CJ0773C	METI
CJ0777	UVRD
CJ0778	SBP
CJ0780	NAPA
CJ0781	NAPG
CJ0785	NAPD
CJ0789	CCA
CJ0790	PURU
CJ0791C	SUFS
CJ0792	PSTB
