Node1	Node2
CJ0001	CJ0100
CJ0001	CJ0274
CJ0001	CJ1456C
CJ0001	CJ1708C
CJ0002	CJ0575
CJ0002	CJ0837C
CJ0002	CJ1536C
CJ0004C	CJ1275C
CJ0004C	CJ1607
CJ0005C	CJ0193C
CJ0005C	CJ0624
CJ0005C	CJ1004
CJ0005C	CJ1014C
CJ0009	CJ0115
CJ0009	CJ0231C
CJ0009	CJ0285C
CJ0009	CJ0720C
CJ0009	CJ0940C
CJ0009	CJ1004
CJ0012C	CJ0021C
CJ0012C	CJ0123C
CJ0012C	CJ0443
CJ0012C	CJ0773C
CJ0012C	CJ0792
CJ0012C	CJ0824
CJ0012C	CJ1041C
CJ0013	CJ1260C
CJ0014C	CJ1106
CJ0015C	CJ0909
CJ0015C	CJ1215
CJ0015C	CJ1319
CJ0015C	CJ1692C
CJ0016	CJ0633
CJ0016	CJ0815
CJ0016	CJ0856
CJ0016	CJ0909
CJ0016	CJ0939C
CJ0016	CJ1279C
CJ0016	CJ1685C
CJ0017C	CJ0720C
CJ0018C	CJ0591C
CJ0018C	CJ0637C
CJ0018C	CJ1012C
CJ0021C	CJ0154C
CJ0021C	CJ0392C
CJ0021C	CJ0575
CJ0022C	CJ0465C
CJ0022C	CJ1103
CJ0022C	CJ1411C
CJ0023	CJ0350
CJ0023	CJ0531
CJ0023	CJ0637C
CJ0023	CJ0996
CJ0023	CJ1183C
CJ0023	CJ1198
CJ0023	CJ1586
CJ0023	CJ1593
CJ0025C	CJ0584
CJ0025C	CJ0697
CJ0025C	CJ0720C
CJ0026C	CJ1382C
CJ0026C	CJ1692C
CJ0027	CJ0720C
CJ0027	CJ1692C
CJ0028	CJ0063C
CJ0028	CJ0985C
CJ0028	CJ1071
CJ0028	CJ1206C
CJ0029	CJ0909
CJ0029	CJ1692C
CJ0032	CJ1260C
CJ0034C	CJ0162C
CJ0034C	CJ0168C
CJ0034C	CJ0336C
CJ0034C	CJ0381C
CJ0034C	CJ0390
CJ0034C	CJ0599
CJ0034C	CJ0973
CJ0034C	CJ1256C
CJ0034C	CJ1272C
CJ0034C	CJ1275C
CJ0034C	CJ1408
CJ0036	CJ0383C
CJ0036	CJ0524
CJ0036	CJ0649
CJ0036	CJ0973
CJ0036	CJ0990C
CJ0036	CJ0993C
CJ0036	CJ1297
CJ0036	CJ1313
CJ0036	CJ1420C
CJ0036	CJ1534C
CJ0036	CJ1563C
CJ0036	CJ1720
CJ0037C	CJ0416
CJ0038C	CJ1197C
CJ0039C	CJ0207
CJ0039C	CJ1225
CJ0042	CJ0913C
CJ0044C	CJ0557C
CJ0044C	CJ1225
CJ0045C	CJ0325
CJ0045C	CJ0778
CJ0045C	CJ0921C
CJ0045C	CJ1617
CJ0046	CJ0720C
CJ0053C	CJ1004
CJ0053C	CJ1218C
CJ0054C	CJ0082
CJ0054C	CJ0720C
CJ0054C	CJ1197C
CJ0054C	CJ1275C
CJ0056C	CJ0060C
CJ0056C	CJ0720C
CJ0058	CJ0082
CJ0058	CJ0720C
CJ0058	CJ1197C
CJ0058	CJ1275C
CJ0059C	CJ0060C
CJ0059C	CJ0091
CJ0059C	CJ0351
CJ0059C	CJ0420
CJ0059C	CJ1221
CJ0059C	CJ1382C
CJ0060C	CJ0241C
CJ0060C	CJ0367C
CJ0060C	CJ0649
CJ0060C	CJ0855
CJ0060C	CJ0913C
CJ0060C	CJ1014C
CJ0060C	CJ1100
CJ0061C	CJ0884
CJ0061C	CJ1464
CJ0061C	CJ1697C
CJ0062C	CJ0591C
CJ0062C	CJ0725C
CJ0063C	CJ0064C
CJ0063C	CJ0190C
CJ0063C	CJ0353C
CJ0063C	CJ0401
CJ0063C	CJ0426
CJ0063C	CJ0932C
CJ0063C	CJ1106
CJ0063C	CJ1294
CJ0063C	CJ1307
CJ0063C	CJ1394
CJ0063C	CJ1399C
CJ0063C	CJ1457C
CJ0063C	CJ1552C
CJ0063C	CJ1553C
CJ0063C	CJ1660
CJ0063C	CJ1720
CJ0064C	CJ0285C
CJ0064C	CJ1313
CJ0064C	CJ1692C
CJ0065C	CJ0392C
CJ0066C	CJ0700
CJ0066C	CJ1004
CJ0066C	CJ1650
CJ0067	CJ0355C
CJ0070C	CJ0113
CJ0070C	CJ0271
CJ0070C	CJ0374
CJ0070C	CJ0422C
CJ0070C	CJ0520
CJ0070C	CJ0551
CJ0070C	CJ0637C
CJ0070C	CJ0649
CJ0070C	CJ0683
CJ0070C	CJ1014C
CJ0070C	CJ1251
CJ0070C	CJ1479C
CJ0070C	CJ1594
CJ0072C	CJ0158C
CJ0072C	CJ0357C
CJ0072C	CJ0592C
CJ0072C	CJ0909
CJ0072C	CJ1275C
CJ0072C	CJ1607
CJ0072C	CJ1626C
CJ0073C	CJ0285C
CJ0074C	CJ0807
CJ0075C	CJ0115
CJ0077C	CJ1471C
CJ0077C	CJ1642
CJ0081	CJ0720C
CJ0082	CJ0085C
CJ0082	CJ0094
CJ0082	CJ0117
CJ0082	CJ0120
CJ0082	CJ0122
CJ0082	CJ0233C
CJ0082	CJ0237
CJ0082	CJ0324
CJ0082	CJ0334
CJ0082	CJ0347
CJ0082	CJ0391C
CJ0082	CJ0397C
CJ0082	CJ0398
CJ0082	CJ0418C
CJ0082	CJ0420
CJ0082	CJ0431
CJ0082	CJ0467
CJ0082	CJ0488
CJ0082	CJ0510C
CJ0082	CJ0516
CJ0082	CJ0524
CJ0082	CJ0539
CJ0082	CJ0563
CJ0082	CJ0584
CJ0082	CJ0617
CJ0082	CJ0639C
CJ0082	CJ0687C
CJ0082	CJ0697
CJ0082	CJ0720C
CJ0082	CJ0733
CJ0082	CJ0763C
CJ0082	CJ0809C
CJ0082	CJ0872
CJ0082	CJ0928
CJ0082	CJ0963
CJ0082	CJ0977
CJ0082	CJ0998C
CJ0082	CJ1028C
CJ0082	CJ1043C
CJ0082	CJ1050C
CJ0082	CJ1083C
CJ0082	CJ1122C
CJ0082	CJ1123C
CJ0082	CJ1124C
CJ0082	CJ1144C
CJ0082	CJ1172C
CJ0082	CJ1180C
CJ0082	CJ1220
CJ0082	CJ1240C
CJ0082	CJ1311
CJ0082	CJ1315C
CJ0082	CJ1331
CJ0082	CJ1371
CJ0082	CJ1383C
CJ0082	CJ1417C
CJ0082	CJ1424C
CJ0082	CJ1435C
CJ0082	CJ1473C
CJ0082	CJ1477C
CJ0082	CJ1484C
CJ0082	CJ1488C
CJ0082	CJ1505C
CJ0082	CJ1510C
CJ0082	CJ1555C
CJ0082	CJ1556
CJ0082	CJ1574C
CJ0082	CJ1581C
CJ0082	CJ1600
CJ0082	CJ1649
CJ0082	CJ1706C
CJ0085C	CJ0920C
CJ0085C	CJ1014C
CJ0086C	CJ0920C
CJ0086C	CJ1071
CJ0087	CJ1692C
CJ0088	CJ0463
CJ0091	CJ0189C
CJ0091	CJ0599
CJ0091	CJ0797C
CJ0091	CJ1108
CJ0091	CJ1256C
CJ0091	CJ1394
CJ0092	CJ0599
CJ0092	CJ1108
CJ0092	CJ1394
CJ0093	CJ0162C
CJ0093	CJ0390
CJ0093	CJ0544
CJ0093	CJ0599
CJ0093	CJ0852C
CJ0093	CJ1011
CJ0093	CJ1022C
CJ0093	CJ1256C
CJ0093	CJ1272C
CJ0093	CJ1408
CJ0094	CJ0245
CJ0094	CJ0465C
CJ0094	CJ1275C
CJ0094	CJ1607
CJ0095	CJ0356C
CJ0095	CJ0670
CJ0095	CJ1108
CJ0095	CJ1726C
CJ0097	CJ0111
CJ0097	CJ0381C
CJ0097	CJ0405
CJ0097	CJ0618
CJ0097	CJ0921C
CJ0097	CJ1026C
CJ0097	CJ1617
CJ0100	CJ0127C
CJ0100	CJ0154C
CJ0100	CJ0243C
CJ0100	CJ0443
CJ0100	CJ0473
CJ0100	CJ0740
CJ0100	CJ0834C
CJ0100	CJ1109
CJ0100	CJ1301
CJ0101	CJ0243C
CJ0101	CJ1109
CJ0101	CJ1650
CJ0103	CJ0168C
CJ0103	CJ1471C
CJ0103	CJ1664
CJ0104	CJ0227
CJ0104	CJ0322
CJ0104	CJ0348
CJ0104	CJ0429C
CJ0104	CJ1004
CJ0104	CJ1225
CJ0104	CJ1663
CJ0106	CJ0190C
CJ0106	CJ0262C
CJ0106	CJ0331C
CJ0106	CJ0465C
CJ0106	CJ0549
CJ0106	CJ0575
CJ0106	CJ0682
CJ0106	CJ0764C
CJ0106	CJ1004
CJ0106	CJ1089C
CJ0106	CJ1108
CJ0106	CJ1225
CJ0106	CJ1394
CJ0106	CJ1602
CJ0107	CJ0314
CJ0107	CJ0381C
CJ0107	CJ0845C
CJ0107	CJ1032
CJ0107	CJ1636C
CJ0110	CJ0158C
CJ0110	CJ0253
CJ0110	CJ0290C
CJ0110	CJ0370
CJ0110	CJ0390
CJ0110	CJ0591C
CJ0110	CJ0592C
CJ0110	CJ0637C
CJ0110	CJ0692C
CJ0110	CJ0797C
CJ0110	CJ0909
CJ0110	CJ0921C
CJ0110	CJ0950C
CJ0110	CJ0954C
CJ0110	CJ0989
CJ0110	CJ1012C
CJ0110	CJ1014C
CJ0110	CJ1094C
CJ0110	CJ1224
CJ0110	CJ1272C
CJ0110	CJ1355
CJ0110	CJ1484C
CJ0110	CJ1648
CJ0110	CJ1653C
CJ0110	CJ1671C
CJ0110	CJ1714
CJ0111	CJ0766C
CJ0111	CJ1197C
CJ0111	CJ1720
CJ0113	CJ0162C
CJ0113	CJ0284C
CJ0113	CJ0285C
CJ0113	CJ0392C
CJ0113	CJ0493
CJ0113	CJ0584
CJ0113	CJ0599
CJ0113	CJ0837C
CJ0113	CJ1197C
CJ0113	CJ1471C
CJ0113	CJ1650
CJ0113	CJ1673C
CJ0115	CJ0244
CJ0115	CJ0251C
CJ0115	CJ0270
CJ0115	CJ0410
CJ0115	CJ0489
CJ0115	CJ0588
CJ0115	CJ0713
CJ0115	CJ0724
CJ0115	CJ0738
CJ0115	CJ0739
CJ0115	CJ0740
CJ0115	CJ0748
CJ0115	CJ0797C
CJ0115	CJ0814
CJ0115	CJ0816
CJ0115	CJ0823
CJ0115	CJ0839C
CJ0115	CJ0878
CJ0115	CJ0916C
CJ0115	CJ0990C
CJ0115	CJ1047C
CJ0115	CJ1114C
CJ0115	CJ1360C
CJ0115	CJ1464
CJ0115	CJ1507C
CJ0115	CJ1510C
CJ0115	CJ1513C
CJ0115	CJ1517
CJ0115	CJ1558
CJ0115	CJ1562
CJ0115	CJ1632C
CJ0115	CJ1656C
CJ0115	CJ1722C
CJ0116	CJ0624
CJ0116	CJ0772C
CJ0116	CJ1602
CJ0118	CJ0575
CJ0119	CJ0228C
CJ0120	CJ0432C
CJ0120	CJ0720C
CJ0120	CJ0765C
CJ0120	CJ1157
CJ0120	CJ1666C
CJ0121	CJ0225
CJ0121	CJ0480C
CJ0121	CJ0492
CJ0121	CJ0913C
CJ0121	CJ1593
CJ0121	CJ1596
CJ0122	CJ0797C
CJ0122	CJ1197C
CJ0122	CJ1275C
CJ0123C	CJ0392C
CJ0123C	CJ0465C
CJ0125C	CJ0909
CJ0126C	CJ0325
CJ0126C	CJ0383C
CJ0126C	CJ0909
CJ0126C	CJ1349C
CJ0127C	CJ0158C
CJ0127C	CJ0241C
CJ0127C	CJ0322
