Node1	Node2
DM10	DM2003
DM10	DM4241
DM10	DM480
DM10	DM5583
DM10	DM6389
DM1000	DM10783
DM1000	DM13731
DM1000	DM3078
DM1000	DM3366
DM1000	DM5757
DM1000	DM6870
DM1000	DM765
DM1000	DM8186
DM1000	DM9254
DM10006	DM3263
DM1001	DM3772
DM1001	DM8885
DM10031	DM1275
DM10031	DM37
DM10031	DM4637
DM10031	DM4824
DM10031	DM6117
DM10031	DM6643
DM10031	DM6896
DM10031	DM7724
DM10033	DM12951
DM10033	DM1567
DM10033	DM4635
DM10033	DM6197
DM10035	DM10802
DM10035	DM7774
DM10056	DM5720
DM1007	DM3459
DM1007	DM4055
DM10080	DM2563
DM10080	DM3613
DM10080	DM5957
DM10080	DM7272
DM10080	DM8666
DM10084	DM10550
DM10084	DM11075
DM10084	DM11631
DM10084	DM12239
DM10084	DM2073
DM10084	DM4637
DM10084	DM5281
DM10084	DM5848
DM10084	DM6500
DM10084	DM7230
DM10084	DM8934
DM10085	DM3816
DM10085	DM4766
DM1010	DM117
DM1010	DM9220
DM10110	DM7022
DM10113	DM9624
DM10119	DM5937
DM10145	DM8167
DM10149	DM6077
DM1016	DM5192
DM10164	DM4339
DM10167	DM1889
DM10167	DM5025
DM10170	DM1331
DM10170	DM2614
DM10170	DM6446
DM10173	DM5583
DM1018	DM4766
DM10183	DM11044
DM10183	DM12239
DM10183	DM1301
DM10183	DM13039
DM10183	DM136
DM10183	DM1459
DM10183	DM1685
DM10183	DM2149
DM10183	DM2828
DM10183	DM3439
DM10183	DM3636
DM10183	DM3772
DM10183	DM4332
DM10183	DM4380
DM10183	DM4645
DM10183	DM4700
DM10183	DM480
DM10183	DM5025
DM10183	DM539
DM10183	DM5976
DM10183	DM6928
DM10183	DM7022
DM10183	DM7143
DM10183	DM7448
DM10183	DM7591
DM10183	DM7610
DM10183	DM7629
DM10183	DM7907
DM10183	DM823
DM10183	DM8813
DM10183	DM8865
DM10183	DM8920
DM10183	DM9308
DM10183	DM9447
DM10183	DM99
DM10186	DM2196
DM10186	DM4494
DM10186	DM9430
DM10190	DM10291
DM10190	DM10727
DM10190	DM12466
DM10190	DM13582
DM10190	DM1395
DM10190	DM1577
DM10190	DM2068
DM10190	DM3467
DM10190	DM4055
DM10190	DM5299
DM10190	DM6063
DM10190	DM6521
DM10190	DM7023
DM10190	DM7587
DM10190	DM8589
DM10190	DM9658
DM10194	DM4766
DM10209	DM2276
DM10209	DM6481
DM10209	DM6827
DM10209	DM7611
DM10209	DM92
DM1021	DM12110
DM1021	DM3363
DM10217	DM8371
DM10232	DM4220
DM10232	DM4488
DM10237	DM6400
DM10238	DM1228
DM10238	DM2464
DM10238	DM2928
DM10238	DM5070
DM10256	DM2444
DM10256	DM3772
DM10256	DM6077
DM10258	DM6448
