Node1	Node2
AAT	CLPA
AAT	CLPS
ABGA	ABGB
ABGB	ABGT
ACCA	ACCB
ACCA	ACCD
ACCA	DNAE
ACCA	FABZ
ACCA	YAEL
ACCB	ACCC
ACCD	CVPA
ACCD	DEDA
ACCD	DEDD
ACCD	FOLC
ACCD	PURF
ACCD	RPOB
ACCD	TRUA
ACEB	ACEK
ACEB	META
ACEK	META
ACKA	PTA
ACKA	PTSI
ACPP	FABD
ACPP	FABF
ACPP	FABG
ACPP	FABH
ACPP	HOLB
ACPP	ISCS
ACPP	MALT
ACPP	PABC
ACPP	SECA
ACPP	TMK
ACS	ACTP
ADA	RPOD
ADK	RPLC
ADK	RPSM
AER	CHEA
AER	CHEB
AER	CHER
AER	TSR
AHPC	DSBG
AHPC	RPSG
ALAS	RECA
ALAS	RELA
ALLB	YGEZ
ALR	DNAB
ALSB	MGLC
APPB	APPC
APPB	CYDA
APPB	CYDB
APPC	CYDA
APPC	CYDB
APT	RELA
ARCA	ARCB
ARCA	ATOS
ARCA	BAES
ARCA	CPXA
ARCA	CREC
ARCA	OMPR
ARCA	PHOB
ARCA	PHOR
ARCB	BAER
ARCB	CHEY
ARCB	CPXA
ARCB	CPXR
ARCB	CREB
ARCB	PHOB
ARCB	RCSC
ARGB	ARGC
ARGB	ARGD
ARGB	ARGE
ARGB	ARGH
ARGC	ARGD
ARGC	ARGE
ARGC	ARGF
ARGC	ARGG
ARGC	ARGH
ARGC	HISA
ARGC	LEUA
ARGC	TRPB
ARGC	TRPC
ARGD	ARGF
ARGE	ARGH
ARGF	ARGG
ARGF	ARGH
ARGF	ARGI
ARGG	ARGH
ARGG	ARGI
ARGG	CARA
ARGS	PHES
ARGS	THRS
ARGT	ARTJ
ARGT	ARTM
ARGT	ARTQ
ARGT	GLNP
ARGT	GLTK
ARGT	HISJ
ARGT	HISM
ARGT	HISQ
ARGT	UBIX
ARGT	YECS
ARGT	YHDY
AROA	AROB
AROA	AROC
AROA	PHEA
AROA	SERC
AROB	AROC
AROB	AROK
AROB	MRCA
AROB	RPE
AROC	MEPA
AROC	PURF
AROK	MRCA
ARSB	ARSR
ARTI	ARTJ
ARTI	ARTM
ARTI	ARTQ
ARTI	GLNP
ARTI	GLTK
ARTI	HISM
ARTI	HISQ
ARTI	YECS
ARTI	YHDY
ARTJ	ARTM
ARTJ	ARTQ
ARTJ	GLNP
ARTJ	GLTJ
ARTJ	GLTK
ARTJ	HISJ
ARTJ	HISM
ARTJ	HISQ
ARTJ	YECS
ARTJ	YHDY
ARTM	ARTQ
ARTM	FLIY
ARTM	GLNH
ARTM	HISJ
ARTM	HISQ
ARTQ	FLIY
ARTQ	GLNH
ARTQ	HISJ
ARTQ	HISM
ASD	DAPA
ASD	THRA
ASNA	ATPB
ASNB	GLNS
ASNB	NAGA
ASNB	TRPB
ASPA	DCUA
ASPA	DCUB
ASPA	FUMC
ASPA	GLNL
ASPC	HISC
ASPC	SERC
ASPS	RUVC
ASPS	YEBC
ATOC	ATOS
ATOC	ZRAS
ATOS	CPXR
ATOS	GLNG
ATPA	ATPB
ATPA	ATPC
ATPA	ATPD
ATPA	ATPE
ATPA	ATPF
ATPA	ATPG
ATPA	ATPH
ATPA	ATPI
ATPA	GLMS
ATPA	SUCD
ATPB	ATPC
ATPB	ATPD
ATPB	ATPE
ATPB	ATPF
ATPB	ATPG
ATPB	ATPH
ATPB	ATPI
ATPB	GLMS
ATPC	ATPD
ATPC	ATPE
ATPC	ATPF
ATPC	ATPG
ATPC	ATPH
ATPC	ATPI
ATPD	ATPE
ATPD	ATPF
ATPD	ATPG
ATPD	ATPH
ATPD	ATPI
ATPE	ATPF
ATPE	ATPG
ATPE	ATPH
ATPE	ATPI
ATPF	ATPG
ATPF	ATPH
ATPF	ATPI
ATPG	ATPH
ATPG	ATPI
ATPH	ATPI
BAER	BAES
BAER	CPXA
BAER	CPXR
BAER	CREB
BAER	CREC
BAER	KDPE
BAER	OMPR
BAER	PHOR
BAER	TORR
BAER	YEDW
BAER	ZRAS
BAES	CPXR
BAES	CREB
BAES	KDPE
BAES	OMPR
BAES	TORR
BAES	YEDW
BASR	BASS
BASR	CPXA
BASR	CREC
BASR	YGIY
BASS	CREC
BASS	YEDW
BASS	YGIX
BCP	TRXB
BIOA	BIOB
BIOA	BIOC
BIOA	BIOD
BIOA	BIOF
BIOB	BIOC
BIOB	BIOD
BIOB	BIOF
BIOC	BIOD
BIOC	BIOF
BIOD	BIOF
BIOF	GROEL
BIPA	YBEY
BIRA	COAA
BISC	TORZ
BTUB	MURI
BTUB	TONB
BTUC	BTUE
CARA	PYRB
CBPA	DNAK
CBPA	HSCA
CCA	TUF
CCHB	EUTE
CDD	SANA
CFA	RIBC
CHEA	CHEB
CHEA	CHER
CHEA	CHEW
CHEA	CHEY
CHEA	CHEZ
CHEA	MOTA
CHEA	MOTB
CHEA	TAP
CHEA	TAR
CHEA	TRG
CHEA	TSR
CHEB	CHER
CHEB	CHEW
CHEB	CHEY
CHEB	CHEZ
CHEB	FLIM
CHEB	MOTA
CHEB	MOTB
CHEB	TAP
CHEB	TAR
CHEB	TSR
CHER	CHEW
CHER	CHEY
CHER	CHEZ
CHER	FLIC
CHER	MOTA
CHER	MOTB
CHER	TAP
CHER	TAR
CHER	TRG
CHER	TSR
CHEW	CHEY
CHEW	CHEZ
CHEW	MOTA
CHEW	MOTB
CHEW	TAP
CHEW	TAR
CHEW	TRG
CHEW	TSR
CHEY	CHEZ
CHEY	FLIA
CHEY	FLIF
CHEY	FLIG
CHEY	FLIM
CHEY	FLIN
CHEY	MOTA
CHEY	MOTB
CHEY	TAR
CHEY	TSR
CHEZ	FLIM
CHEZ	MOTA
CHEZ	MOTB
CHEZ	TAR
CLPA	CLPB
CLPA	CLPP
CLPA	CLPS
CLPB	GROEL
CLPP	CLPX
CLPP	HSLU
CLPP	LON
CLPX	DNAK
CLPX	GROEL
CLPX	HUPB
CLPX	LON
CLPX	MREB
CMK	RPSA
CMK	SERC
COAD	RECG
COAD	RIBF
COPA	CUER
CORA	UVRD
CPSG	GLMM
CPXA	CPXR
CPXA	CREB
CPXA	CREC
CPXA	OMPR
CPXA	PFKA
CPXA	PHOB
CPXA	PHOR
CPXA	TORR
CPXA	YEDW
CPXR	CREB
CPXR	CREC
CPXR	KDPE
CPXR	OMPR
CPXR	PHOR
CPXR	TORR
CPXR	YEDW
CPXR	ZRAS
CREB	CREC
CREB	OMPR
CREB	PHOB
CREB	PHOP
CREB	PHOR
CREB	YEDW
CREB	ZRAS
CREC	CRED
CREC	CUSR
CREC	KDPE
CREC	OMPR
CREC	PHOB
CREC	PHOP
CREC	PHOR
CREC	TORR
CREC	YEDW
CREC	YGIX
CRP	RPOA
CRP	RPOD
CUSC	YLCC
CUSR	PHOR
CUSR	YGIY
CVPA	DEDD
CVPA	FOLC
CVPA	PURF
CVPA	UBIX
CYDA	CYDB
CYDA	CYDC
CYDA	CYDD
CYDB	CYDC
CYDB	CYDD
CYDC	CYDD
CYDC	TRXB
CYDD	TRXB
CYNS	CYNT
CYSE	GPSA
CYSP	CYSW
CYSP	SBP
CYSW	POTG
CYSW	SBP
DAPA	DAPB
DAPA	DAPE
DAPA	PURC
DAPB	DNAJ
DAPB	DNAK
DAPB	RPST
DAPD	DAPE
DAPD	GLND
DAPD	RPSB
DAPD	TSF
DCUA	DCUB
DEDA	TRUA
DEDD	FOLC
DEDD	PURF
DEDD	TRUA
DINI	RECA
DKSA	MRCB
DMSA	DMSB
DMSA	DMSC
DMSA	DNAK
DMSA	MOAA
DMSA	YNFE
DMSA	YNFG
DMSB	DMSC
DMSB	YNFE
DMSB	YNFG
DMSC	YNFG
DNAA	DNAB
DNAA	DNAE
DNAA	DNAN
DNAA	NUSA
DNAA	RECA
DNAA	REP
DNAA	RNPA
DNAA	RPOH
DNAA	RPSG
DNAA	UVRB
DNAA	UVRC
DNAB	DNAE
DNAB	DNAX
DNAB	PRLA
DNAB	RECA
DNAB	RECG
DNAB	RPOH
DNAB	SSB
DNAB	TUS
DNAE	DNAN
DNAE	DNAQ
DNAE	DNAX
DNAE	FRR
DNAE	HOLE
DNAE	LPXA
DNAE	NUSA
DNAE	PYRH
DNAE	RECA
DNAE	RPSB
DNAE	RPSD
DNAE	RPSF
DNAJ	DNAK
DNAJ	GRPE
DNAJ	HSCA
DNAJ	HSCC
DNAJ	RPOH
DNAJ	RPST
DNAK	GADA
DNAK	GRPE
DNAK	HSCA
DNAK	PNP
DNAK	RPOH
DNAN	DNAQ
DNAN	DNAX
DNAN	RNPA
DNAN	YEAG
DNAQ	HOLE
DNAQ	RNHA
DNAQ	YFIF
DNAX	HOLB
DNAX	HTPG
DNAX	RECR
DNAX	SSB
DSBA	YIHE
DSBB	FADR
DSBC	SURA
ENO	GROEL
ENO	PGI
ENO	PGK
ENO	PNP
ENO	PYRG
ENO	TPIA
ENVZ	OMPR
ENVZ	PCKA
ENVZ	TORR
ERA	LEPA
ERA	MAZG
ERA	PDXJ
ERFK	PHES
EUTE	EUTJ
EXBB	EXBD
EXBB	LEPB
EXBB	PAL
EXBB	TOLB
EXBB	TOLQ
EXBB	TONB
EXBB	YBGC
EXBD	TOLQ
EXBD	TONB
FABD	FABF
FABD	FABG
FABD	FABH
FABD	PLSX
FABD	RPMF
FABF	FABG
FABF	PABC
FABF	YGFF
FABG	FABH
FABG	PLSX
FABG	RPMF
FABH	PLSX
FABH	RPMF
FABZ	LPXA
FABZ	LPXC
FABZ	LPXD
FABZ	RPSB
FABZ	YAEL
FADH	MURB
FECA	FECB
FECA	TONB
FEOA	FEOB
FFH	FTSY
FFH	RPLS
FFH	RPLU
FFH	RPLW
FFH	RPMA
FFH	RPSP
FFH	TRMD
FHIA	FLGC
FHIA	FLGE
FHIA	FLGG
FHIA	FLHB
FHIA	FLIF
FHIA	FLIG
FHIA	FLIM
FHIA	FLIN
FHIA	FLIP
FHLA	HYFR
FHLA	HYPE
FHLA	RPON
FHUA	FHUB
FHUA	FHUC
FHUA	FHUD
FHUA	TONB
FHUB	FHUC
FHUB	FHUD
FHUC	FHUD
FIMA	FIMC
FIMA	FIME
FIMA	FIMI
FIMC	FIMI
FIMC	YHCD
FKPA	SLYD
FLDA	FLDB
FLDA	FUR
FLGA	FLGB
FLGA	FLGC
FLGA	FLGD
FLGA	FLGE
FLGA	FLGF
FLGA	FLGG
FLGA	FLGH
FLGA	FLGI
FLGA	FLGJ
FLGA	FLGK
FLGA	FLGL
FLGB	FLGC
FLGB	FLGD
FLGB	FLGE
FLGB	FLGF
FLGB	FLGG
FLGB	FLGH
FLGB	FLGI
FLGB	FLGJ
FLGB	FLGK
FLGB	FLGL
FLGB	FLHA
FLGC	FLGD
FLGC	FLGE
FLGC	FLGF
FLGC	FLGG
FLGC	FLGH
FLGC	FLGI
FLGC	FLGJ
FLGC	FLGK
FLGC	FLGL
FLGC	FLHA
FLGC	FLHB
FLGC	FLIC
FLGC	FLIF
FLGC	FLIG
FLGC	FLII
FLGC	FLIM
FLGC	FLIN
FLGC	FLIP
FLGD	FLGE
FLGD	FLGF
FLGD	FLGG
FLGD	FLGH
FLGD	FLGI
FLGD	FLGJ
FLGD	FLGK
FLGD	FLGL
FLGD	FLIR
FLGE	FLGF
FLGE	FLGG
FLGE	FLGH
FLGE	FLGI
FLGE	FLGJ
FLGE	FLGK
FLGE	FLGL
FLGE	FLHA
FLGE	FLHB
FLGE	FLIC
FLGE	FLIF
FLGE	FLIG
FLGE	FLII
FLGE	FLIM
FLGE	FLIN
FLGE	FLIP
FLGF	FLGG
FLGF	FLGH
FLGF	FLGI
FLGF	FLGJ
FLGF	FLGK
FLGF	FLGL
FLGF	FLHA
FLGF	FLHB
FLGG	FLGH
FLGG	FLGI
FLGG	FLGJ
FLGG	FLGK
FLGG	FLGL
FLGG	FLHA
FLGG	FLHB
FLGG	FLIC
FLGG	FLIF
FLGG	FLIG
FLGG	FLII
FLGG	FLIM
FLGG	FLIP
FLGH	FLGI
FLGH	FLGJ
FLGH	FLGK
FLGH	FLGL
FLGI	FLGJ
FLGI	FLGK
FLGI	FLGL
FLGI	FLGN
FLGI	FLHA
FLGI	FLHB
FLGI	FLIF
FLGI	FLIP
FLGJ	FLGK
FLGJ	FLGL
FLGK	FLGL
FLGK	FLHA
FLGK	FLHB
FLGK	FLIC
FLGK	FLIF
FLGK	FLIM
FLGK	FLIP
FLGL	FLIC
FLHA	FLHB
FLHA	FLIA
FLHA	FLIC
FLHA	FLIF
FLHA	FLIG
FLHA	FLII
FLHA	FLIM
FLHA	FLIN
FLHA	FLIP
FLHA	FLIR
FLHB	FLIA
FLHB	FLIC
FLHB	FLIF
FLHB	FLIG
FLHB	FLII
FLHB	FLIM
FLHB	FLIN
FLHB	FLIP
FLHB	FLIR
FLHB	FLIS
FLHB	MOTA
FLIA	FLIC
FLIA	FLID
FLIA	FLIF
FLIA	FLII
FLIA	FLIM
FLIA	FLIP
FLIA	FLIR
FLIA	FLIZ
FLIA	RPOA
FLIA	RPOB
FLIA	RPOC
FLIA	RSD
FLIC	FLID
FLIC	FLIE
FLIC	FLIF
FLIC	FLIG
FLIC	FLII
FLIC	FLIM
FLIC	FLIP
FLIC	FLIR
FLIC	FLIS
FLID	FLIE
FLID	FLIF
FLID	FLII
FLID	FLIJ
FLID	FLIL
FLID	FLIM
