yeast	human
PET112	EHMT2
SSA4	HSPA5
FUN12	MTIF2
SPP381	CD69
BUB1	BUB1
MRP49	CFLAR
VAM7	SNAP23
RAM1	FNTB
YCR043C	P2RY2
GID8	CRSP3
RNT1	TRIP12
RSM10	RGS12
PUP1	PSMB7
ADH7	ZNF263
HTA1	SOS2
YML119W	POLR2C
CDC55	PPP2R2B
DSN1	NIN
ADD66	NPHS1
RTR1	KHDRBS1
PRI1	AKTIP
UTP20	SNIP1
STO1	PCBP1
NSA1	ASGR1
SME1	SNRPE
MTF2	HOMER3
VAM6	TGFBRAP1
RPS12	SNX7
NFS1	DAZAP2
YIL096C	IL8RB
MRPL8	REXO1
MRS6	GDI1
APC4	ANAPC7
CDC26	CDC26
RAD10	TLR2
HEF3	MBD2
RMD5	RMND5A
SAS5	MLLT1
HRB1	SFRS4
SRP21	TRIP10
TFB5	GTF2H5
MRPL35	SERPINB9
RSC2	SORBS1
SKT5	ZNF76
TAF13	KIFAP3
MRPL38	FOXM1
SPE3	EZH2
MTR4	SKIV2L2
MRPL33	GIT1
YNL276C	GYPC
VMA10	CBFA2T3
SAP30	SAP30
OCA2	PTPRC
FMP27	RAP1GAP
SMC1	DOCK8
LEA1	SNRPA1
SIW14	PTPRO
GCD10	ZNF467
SPB1	FTSJ3
MRPL24	ADAMTS5
PUF3	GNAI3
IDP3	IL1RAP
RPS7B	THRA
YPR114W	HOXD4
RAD7	BCL2
CIC1	RSL1D1
PMR1	HNRPAB
RRP6	EXOSC10
NUG1	THRAP5
PRP8	SNRPD3
YEF3	MAP4K4
ATS1	HERC5
ERG27	DMD
NKP2	GPLD1
GIP3	TJP2
LAA1	UBE2L3
MET12	ZMYM3
PRO2	USHBP1
URA3	SH2B2
RPM2	DVL1
UBP15	USP7
BUD2	CIDEB
SAR1	SAR1B
EPL1	COX17
RSE1	SF3B3
BSP1	ID3
RPL16A	SPAG9
PRP18	COL4A4
PMT4	DVL2
TOF1	MED4
RAD27	EXO1
MRPL22	CEP76
AAR2	C21ORF77
CMD1	CALM1
VMA6	PF4
PXR1	RBM17
RRI2	ITGA2B
LIN1	PRKAR2A
CAF16	PNKP
XDJ1	DNAJA1
SSU72	DTNBP1
PRP9	SF3A3
NEM1	CDK5R1
SEC13	LMO4
GTR2	OPRM1
RSP5	WWP2
TFG1	NFKB2
MLC1	CALM2
MRP4	C1ORF103
GCN20	BCOR
AAP1	C21ORF7
ARO3	DDX24
ILV6	MAP3K3
RPL8A	SH3BP1
SEC3	GPS2
SWM1	APOB
YNL260C	VHLL
MRD1	EIF3S4
UBP8	MMP26
DBF4	CCR4
URA10	NAP1L1
PSH1	ASF1A
CLC1	C10ORF88
HOG1	MAPK1
GFA1	MAPK8IP1
SEC23	SEC23B
MIR1	UCP2
RPL43B	ZFHX1B
YDR341C	RARS
RAD51	PTPN11
CWC2	SFRS2
STE4	HTR1A
KTI11	TACR3
SNT309	E2F5
TRM3	PAXIP1
YAP1	JUNB
MRPL16	PEO1
VPS30	IL3
SUM1	WNT1
SWI3	TRIM28
OCA1	RAI14
MED7	CRSP9
ARB1	HAP1
RTT102	E2F4
OXR1	CDK3
SNF6	LAMA4
MAM33	SALL1
STM1	RASA1
ADH2	S100A6
SWI4	MLF1
RPC37	BCAN
NUP85	APEX1
YPT31	RAB2A
SEC39	HIF1AN
YBL113C	CD44
ECM10	HSPA9
GID7	FBXW5
RPP2A	TRPC4
MRT4	FN1
DLD1	NCK2
ARP2	ACTR2
YKL061W	PTK2
ADH1	UBQLN4
RPL19A	GEMIN4
YAK1	MAPK3
BUD3	PGR
ASC1	GNB2L1
SEC10	VAV2
RPL19B	EPHB2
BRR2	GEMIN6
HTZ1	IKZF1
ATP1	BAIAP2
TRM11	IGF1R
CEF1	MYB
CUS1	SF3B2
TUS1	CD3EAP
RPB5	NFKBIB
YBL054W	MYBL2
RRP40	EXOSC3
VPS72	VPS72
GTB1	NCF1
NOC3	RIF1
GRS1	FASLG
POL3	REV3L
CIS1	HNRPM
MUK1	TMEM66
PUS7	HOXC10
MCK1	SMAD3
ARP7	HOXD12
CHS1	PECAM1
RPN5	COPS3
ARC35	DCTN2
UBP3	USP2
DDR48	PRDX3
RPS29B	BRCA1
SNM1	PEX13
NDI1	CSRP2
MED1	FMNL1
YTM1	STRAP
ENP1	HLA-E
AHC2	TOM1
AIM17	RAB32
DRS1	TCERG1
RFA2	RPA2
TYS1	TFPI
NHP6A	HMGB1
DLS1	ZWINT
KRE2	PTPRF
KEL1	CASP6
YDR306C	SKP2
CDC14	PTP4A3
NMD5	HLA-C
RFX1	RFX5
RRP15	DENND4A
SRL2	MMP1
YMR259C	C19ORF57
GON7	TGFB1I1
MAK10	TMEM57
EAF5	RUNX2
ATG1	PAK1
SFB2	CXCR3
SPT7	BRD8
SLI15	CD40
APL6	AP3B2
CPA1	ESR2
PHB1	PHB
RPS6B	GDF9
NUP49	HNRPH2
DIG2	LGALS3
FAR3	BAT3
UFD2	BTBD2
ALY2	IL2RG
SSE2	HSPA4
HTB1	GADD45B
RPS24B	LAPTM5
HSP104	ITK
TFB4	GTF2H3
CRN1	CORO2A
SSA3	CITED1
BUD31	PLXNB2
SCD6	NCOA1
RPN8	EIF3S5
YGR126W	PKN2
MAC1	APBB1
UTP5	PRKRIP1
PMA1	KPNA3
IFA38	CPNE2
PHO88	SLC8A1
POL4	ENG
YTA12	TMEM70
POL32	IFI27
HDA3	NCOR2
PDX1	PPM2C
YDR415C	FAS
ERG24	LBR
ERV41	SHANK1
AMN1	AHSG
YCR016W	NR1H2
PUF6	MTA1
YPT6	RRAS2
YDL173W	MVD
DIP2	NAGK
PIH1	EFEMP2
SUP35	F3
APM2	GGA3
YER077C	MYPN
LCD1	NOX1
RFC1	RFC1
SSK2	MAP3K5
PRE7	PSMB1
NSP1	TRPC6
CAF20	NFATC1
SSC1	KISS1
HGH1	CEACAM8
URA5	RHOQ
GEA1	PSCD2
CRP1	CYFIP2
YLR287C	ARHGEF2
RHR2	PPP1R9A
PSD1	IRS2
RSM22	TF
TFA2	MYCBP
CUL3	CUL3
EFT1	CDC5L
PFK2	CACNB1
RPT5	PSMC3
BLM10	PSMB9
SER3	CTBP1
FAR1	LAMA1
RIX7	MAP3K14
FBA1	HAX1
CLB4	CCNA1
TLG2	STX1A
SEC8	PDE6D
OST3	ACTN2
ELP6	STATIP1
VHS2	CDC34
KRR1	SMARCE1
ATP2	ATXN1
RPL21A	RPL21
ERP1	GORASP1
INP2	IGFBP7
RPT1	CC2D1A
RSM18	PARD6A
YPL066W	MAGI1
ENO2	C6ORF203
SOL2	EXT1
NOP53	FGF7
RRP7	PLCB3
TAD2	MBD1
VIP1	BAG3
VPS75	GRIA1
NHP10	SOX10
YOR304C-A	CD55
RPF2	TPX2
SRV2	HOXA9
RTT109	SETDB1
YPL206C	PHYH
RPL36A	CKS1B
SWP1	UBQLN2
PRE1	PSMB2
RSR1	RAP1A
PCA1	PERQ1
BMH2	YWHAB
VMA5	OPTN
CCT7	C6ORF55
PRP43	DHX15
MAK5	MDK
MBA1	CCRL1
FMC1	RAD50
YNL247W	LMO3
RPS8B	PARD6B
RTG1	MITF
MRP13	POU2F1
UFE1	MYOZ1
YOR131C	ZNF592
TIF6	CRSP7
IOC4	SLC9A5
YPT52	RHOA
LPD1	CYBB
PBI2	SYNCRIP
ARP4	ACTL6A
VPS16	ZNF435
KGD1	ACVR2B
TFC1	PAX9
BET2	RABGGTB
RAD52	BLM
WRS1	KLHL12
CAF130	CASP2
COX4	PTF1A
UTP6	LMO1
ATG20	KRT27
FAP7	PIK3R3
CTF18	CDKN2A
SFH1	SMARCB1
RCK2	TP53
VMA13	SLC9A3R1
TIP41	PIWIL4
ULA1	NEDD8
HST1	ZNF83
SCC2	PFN1
SWD2	NSUN4
DTD1	MYOZ2
GRE3	AKR1C3
IDS2	ABI1
FES1	SIL1
UTP13	BTRC
SEC1	STXBP2
SGV1	CDC2
SDH2	YTHDC1
NOT5	PALLD
SLX5	NDUFA13
GLN1	HSPB8
