yeast	human
AAH1	ADA
AAP1	ENPEP
AAR2	C20ORF4
ABD1	RNMT
ABF2	HMGB2
ABP1	CTTN
ABZ2	ZW10
ACC1	ACACA
ACK1	MTUS1
ACO1	IREB2
ACO2	ACO2
ACS2	ACSS2
ACT1	ACTG2
ADA2	TADA2L
ADD66	TNFSF5IP1
ADE13	FH
ADE16	SLC8A2
ADE3	MTHFD1
ADE4	CACHD1
ADE6	SYNGAP1
ADH1	ADH5
ADH2	TP53I3
ADH3	CRYZ
ADH7	MECR
ADR1	OSR1
AEP1	PAIP1
AEP2	DYNC2H1
AFG3	SPG7
AHA1	AHSA1
AHC2	CSPG2
AIM17	BBOX1
AIM21	SPTA1
AIM45	ETFA
AIR1	ZCCHC7
AIR2	ARHGAP5
AKR1	ZDHHC17
ALD4	ALDH2
ALD6	ALDH5A1
ALG12	YBX1
ALT1	GPT
ALY1	CNP
ALY2	NDFIP2
AMD1	AMPD1
AME1	ATXN7L2
AMN1	FBXL2
AMS1	MAN2C1
ANP1	SNAPC1
AOS1	SAE1
APC1	ANAPC1
APC2	ANAPC2
APC4	HOXC10
APC5	ANAPC5
APC9	CDC26
APE2	LNPEP
APL1	AP1B1
APL2	AP2B1
APL3	AP2A2
APL4	AP1G2
APL5	AP3D1
APL6	AP3B2
APM1	AP1M1
APM2	AP1M2
APM3	AP3M1
APM4	AP2M1
APN1	LOXL4
APS1	AP1S1
APS2	AP2S1
APS3	AP3S1
ARB1	ABCF1
ARC1	SCYE1
ARC15	ARPC5L
ARC18	ARPC3
ARC19	ARPC4
ARC35	ARPC2
ARC40	ARPC1B
ARD1	ARD1A
ARO1	NR2C2
ARO3	CHCHD3
ARP2	ACTR2
ARP3	ACTR3B
ARP4	ACTL6A
ARP5	ACTG1
ARP6	ACTR1A
ARP7	ACTR1B
ARP8	ACTR8
ARP9	ACTR10
ARX1	PA2G4
ASC1	GNB2L1
ASE1	PRC1
ASF1	ASF1B
ASI3	CBLC
ASK1	C11ORF56
ASN1	ASNS
ASN2	STRN4
ASR1	RNF111
ATG1	ULK2
ATG11	SYNE1
ATG13	HCN4
ATG14	NAV2
ATG17	EMD
ATG18	WIPI2
ATG2	VAV3
ATG20	SNX3
ATG26	UGT2B7
ATG29	DISC1
ATG4	ATG4B
ATM1	ABCB7
ATP1	ATP5A1
ATP11	ATPAF1
ATP12	ATPAF2
ATP2	ATP5B
ATP22	CSDE1
ATP3	ATP5C1
ATP4	KRT1
ATP5	NSD1
ATP7	ATP5H
ATP8	CCK
ATS1	SERGEF
BAT1	TRAP1
BAT2	BCAT1
BBC1	LAMA5
BCH1	IL23R
BCH2	JAK2
BCP1	BCCIP
BCS1	BCS1L
BCY1	PRKAR2A
BDF1	BRD8
BDF2	BRWD1
BDH1	HSD17B10
BDH2	SORD
BEM1	SORBS3
BEM2	ARHGAP15
BET2	RABGGTB
BET3	TRAPPC3
BET4	RABGGTA
BET5	TRAPPC1
BFR1	ARHGAP21
BFR2	AATF
BIR1	BIRC5
BLM10	ASPM
BMH1	YWHAE
BMH2	YWHAZ
BMS1	MTIF2
BNA3	ANLN
BNI1	FMNL3
BNI4	LTA4H
BOI1	CNKSR2
BOI2	PLEKHA5
BOS1	GOSR2
BRE1	RNF40
BRE2	ASH2L
BRE5	G3BP2
BRL1	AMFR
BRN1	NCAPH
BRO1	PDCD6IP
BRR1	DDIT4L
BRR2	ASCC3L1
BRX1	BXDC2
BSD2	NDFIP1
BSP1	ADD2
BTT1	SMYD1
BUB1	BUB1
BUB2	TBC1D8
BUB3	BUB3
BUD14	NCKIPSD
BUD2	RASAL2
BUD20	ZNF593
BUD21	HES6
BUD22	BAI1
BUD23	GNMT
BUD27	UXT
BUD3	B3GALT4
BUD31	C16ORF33
BUD32	TP53RK
BUD4	SEPT2
BUD6	C14ORF166
BUG1	AKAP9
BUR2	ZMYM6
CAC2	CHAF1B
CAF130	BTG3
CAF16	ABCA12
CAF20	KIAA1377
