yeast	human
RPL28	SRC
RPL14B	IKBKG
ROX3	TEF
MED2	C21orf77
RPS9B	CTNNB1
RPL32	PDGFRB
HSP26	RAB1B
YDJ1	RUSC2
RPS11A	STAT3
RPS9A	IKBKB
UTP13	SF3B4
BMS1	FYN
KAP95	SYT1
SRP1	SYNCRIP
RPS0A	MAP3K3
RPS0B	TBK1
RPL6A	YWHAB
RPL31B	RAF1
RPL18A	STAT5A
MRP51	TRFP
MRPS16	FBXW2
RPL25	GRB2
RSA4	CSF1R
PRP8	SNRPD3
LSM2	SIP1
SMD1	SNRPB2
SMX2	GEMIN6
RPN10	THRAP5
SEM1	MED25
PRP46	SF3B1
PRP43	RELA
AIR2	UNC13B
NRD1	MAFK
RPL8B	PLCG1
HCA4	GFAP
YCR102C	TMEM51
YNL134C	UFD1L
RSC6	EXOSC1
HTA1	DDX42
NOP1	CREBBP
MAK5	ITGA2B
RPS6B	ZAP70
RPL42B	MET
TFC6	NPTX2
TFC8	NPTX1
RPS11B	ABL1
RPS15	DNM1
RPT1	TAF6
RPN13	LSM7
NOP2	EGF
URB1	PAG1
RSA3	CSF3
NOP7	SNTA1
RPL3	PTPN6
IMD1	VAV3
GSP1	RILP
GSP2	LCN1
RSC58	ORC6L
RSC9	MCM2
RPS2	ANXA2
RPL26A	MAP4K1
MRPL1	VAMP3
LRC4	TBN
RPO31	UPF3B
MAF1	COPZ2
SEN1	BACH2
SRO9	AKT1
NGG1	MED18
TAF7	SURF5
ARP9	ORC2L
RPA135	DDX20
RPA14	DET1
RPS7A	CBL
RPL5	TP53
RPB2	SMARCD1
TAF14	EXOSC4
ARP7	GTF2E1
NSR1	DAPP1
RPS7B	PTK2B
RPS23A	ITK
PRP4	SNRPE
SPP381	RPS16
PRP6	SFRS2
DIB1	SF3A1
MPP10	BMPR1B
IMP4	EP300
RPL20A	USP7
RPL1B	MPHOSPH6
GCD6	EDG3
SUI2	ARHGEF6
KRR1	BTK
KRI1	BAK1
RPL35B	CCDC90B
MED1	TRAP1
SRB8	NXF1
SMD2	SFRS1
LSM7	HDAC9
RPL12B	TAF9B
RPS22B	EPHB1
SSN2	PSMB8
MMS2	SPAST
SIP5	C18orf24
RSM23	FBXW8
MRPS17	TAF2
RPL36A	BANP
RPS3	ARID3A
NUP60	HIST1H3E
TRS23	COG2
KRE11	COG6
RPL24A	BCAR1
DRE2	SAA4
TAH18	NUDT9P1
USE1	PPP2R2B
ADH1	UPF2
PUF4	MUC1
MRP4	TAF5
MRPS9	TADA2L
YDR415C	SULT2B1
UBA1	APLN
RPL13A	CDKN2C
VID24	BLZF1
RPL4A	VIM
RPP0	PLAGL1
RPL15A	CCDC106
RPS25A	PLEC1
PUF6	FRS3
CIC1	RPS6KA1
RLP7	CBLC
NSA2	SCAMP1
MRPS28	MED9
EHD3	DNAJC8
LSM6	SUPT3H
RPS14B	ACTR2
SIK1	CSNK2A1
