yeast	human
TEF2	EEF1A2
PET9	SLC25A5
YHB1	NGB
TEF4	EEF1G
UBX2	UBXD8
YME2	SH3GL3
DOA1	PLAA
SSA2	HSPA1B
HSH155	SF3B1
CDC55	PPP2R2B
TPD3	PPP2R1B
ACO2	IREB2
UTP4	GNB5
BMH2	YWHAE
ADE3	MTHFD1
MYO4	MYH10
BMH1	YWHAZ
WRS1	WARS
STI1	STIP1
YDR133C	GUCY2D
MYO3	MYO1F
PPZ1	PPP1CA
RPL23A	RPL23
VPS25	VPS25
SNF8	SNF8
MSL1	SNRPA
TPK1	PRKX
YMR181C	HDAC5
SRB4	CIITA
MBP1	DAPK1
YMR187C	PTCD3
SNF1	PRKAA2
UBP10	USP20
DHR2	DHX38
NIP1	EIF3S8
TYS1	YARS
SPC72	SHROOM2
YTM1	WDR12
NUP57	NUP54
NSP1	NUP62
RPL16A	RPL13A
DED1	DDX3X
RPS24A	POLM
CBC2	NCBP2
UTP7	GNB4
SNL1	NDUFAF1
ECM2	LRP2
YDL173W	SEMA4B
RPS6A	RPS6
RPC11	POLR3K
RPL25	RPL23A
BDF2	BRDT
ARP8	ACTR8
FAA4	ACSL6
RSP5	NEDD4L
ARP6	ACTC1
ILV5	TBC1D1
PAP2	PTK2B
BSP1	ADD2
HAS1	DDX21
LOS1	XPOT
RRP6	EXOSC10
MAP2	METAP2
PIK1	PIK4CB
YNR047W	MARK2
SSA3	HSPA2
ELM1	CAMKK2
YSC84	SH3RF1
ATP1	ATP5A1
RFC2	RFC4
ABP1	CTTN
RPP2A	FIZ1
SKN1	SP4
SRB8	MED12
BUD31	STX5
UTP20	PRMT5
KTI12	EHD1
MSH3	MSH3
RFC5	RFC3
CLU1	KIAA0664
RPT3	PSMC1
SSB2	HSPA5
NTR2	PKNOX2
INO80	SMARCA1
RPL14B	RPL14
SNA2	CDC25C
SHS1	SEPT8
CDC10	SEPT9
MRM1	FLNA
SAS5	MLLT3
RPL22B	RPL22
ATG1	ULK2
MFT1	CDKL1
YMR118C	REM1
DMR1	TRIM55
ERG1	COQ6
SIT4	PPP6C
SPF1	ATP2A1
YAR1	RAI14
CCL1	CCNH
ATG11	FCER2
RFC3	RFC5
UGA1	ABAT
CCT6	CCT6A
RPL17A	RPL17
SEN2	TSEN2
APM3	AP3M1
GDH3	GLUD1
RPT2	PSMC4
PSA1	GMPPB
SEC65	SRP19
NUP116	NUP98
RPL23B	PLEKHB2
MEX67	NXF1
OST1	RPN1
STT3	STT3B
NOB1	NOB1
ABZ2	ZW10
STE23	IDE
REG1	KTN1
OXA1	OXA1L
RPB2	POLR2B
TIF4632	EIF4G1
KRS1	KARS
SRL2	RAB8B
PTK1	CSNK1D
TPS3	PDGFRA
ISD11	NCKAP1
PDR12	ABCG1
SUR7	G3BP1
GEA2	GBF1
RMD5	RMND5A
RPN1	PSMD2
VPS29	VPS29
YPL225W	CREB3L1
SWD3	WDR5
KEL1	HCFC1
ESA1	HTATIP
GCN3	EIF2B1
KAP114	IPO9
CDC7	CHEK2
ELP3	ELP3
VTC1	GPHN
EBP2	EBNA1BP2
RTT106	DPYSL2
PFS2	WDR33
MRN1	SPEN
PCL8	COL6A3
YIL172C	SLC3A1
HIF1	OGT
VPS21	RAB1A
IKI3	IKBKAP
CIT1	CS
PHM8	STK36
YDR061W	TAP2
CAP1	CAPZA2
YGL079W	CAPZA3
MMS1	ETV1
SEY1	SEPT3
EST3	EML1
SWI6	NOTCH2
CNM67	PPFIA1
PYK2	PKLR
OXR1	NCOA7
YPL088W	KCNAB1
SFP1	DPF2
APE2	ENPEP
MSL5	SF1
AMS1	MAN2C1
RPL7A	APP
COX4	COX5B
SHP1	NSFL1C
PTC1	PPM1E
RPS10B	PLEC1
FUR1	PARP2
YDR338C	RGR
SSE1	HSPH1
PGK1	PGK1
DRS2	ATP9B
UFD1	UFD1L
MRP17	MRPS6
CAF16	ABCA12
ULA1	APPBP1
ENP1	BYSL
RRP46	EXOSC5
NQM1	TRMT1
TUF1	TUFM
RRD2	GABRR1
YBR053C	PON1
KIC1	STK25
MUD2	TIA1
PCT1	PCYT1A
SSL1	GTF2H2
ARC1	SCYE1
RGD2	MYO9A
SSL2	ERCC3
TRZ1	ELAC2
BNA3	ALAS1
MTW1	MIS12
MPP10	MPHOSPH10
CRZ1	SP3
CTK1	CDK2
BUD20	ZNF593
COP1	COPA
CUS1	SF3B2
YML119W	DOCK10
RPS21A	RPS21
APL5	AP3D1
PRE5	PSMB5
SRP72	SRP72
GAL83	PRKAB2
SWH1	OSBP2
POP5	POP5
VRP1	WIPF1
RPL4B	EPHA8
VMA5	TDRD7
NOG1	GTPBP4
SAS3	MYST2
SLN1	PDK3
TRM8	METTL1
SNM1	LMO7
RPL40A	UBC
TAH18	NDOR1
RPB4	POLR2D
BFR1	SFI1
SAF1	HERC2
FRS2	FARSLA
PRI2	PRIM2A
RPB7	POLR2G
RPN8	PSMD7
COG3	COG3
RPP0	RPLP0
VPH2	TOPORS
UBC13	UBE2N
SSF1	BXDC5
APN1	LOXL4
RAI1	DOM3Z
ACO1	ACO2
DCP2	DCP2
MOT1	BTAF1
VMA10	ATP6V1G1
CCH1	CACNA1C
DPH1	DPH1
YDL156W	WDR76
NHP6A	HMGB2
RET2	ARCN1
SXM1	IPO7
POP8	ADAM23
HHT2	H3F3A
RLI1	ABCE1
RET3	COPZ1
RPL1B	RPL10A
GSP1	RAN
MET10	MTRR
COX20	FURIN
HIR1	HIRA
GBP2	THOC4
RAD14	XPA
MRPL15	DOCK2
RPL13B	RPL13
RFA2	RPA2
PRE4	PSMB4
RSM26	SOD2
NFS1	AGXT
MRPL7	KIF13B
RPS25A	RPS25
ALG12	PTP4A2
SGV1	CRKRS
FAB1	PIP5K3
BUR2	MID2
YOR262W	XAB1
ALY2	DNAJB2
GEA1	PSCD1
VPS3	TGFBRAP1
SSC1	HSPA9
CBK1	STK38L
HEF3	ABCB4
LSB5	PRKCQ
PEX5	PEX5
PHO23	ING4
UBP2	USP25
BUD3	MRPL9
PRE9	PSMA4
TFB4	GTF2H3
ISY1	TOM1L2
RAD27	FEN1
MMT1	SLC30A9
GCD11	EIF2S3
TPO2	SV2A
URN1	TCERG1
IES1	SMCR7
PDB1	PDHB
ARP5	ACTG1
MDM10	HOOK1
TOM40	TOMM40
OSH7	OSBPL3
APL4	AP1G1
APS1	AP1S2
PDA1	PDHA2
RPS13	RPS13
GAL11	GPRASP2
RPS16B	RPS16
YPL009C	FBXO2
YJL049W	CHMP7
YAR010C	NEK11
MMS21	ZMIZ2
SEC31	SEC31A
MUD1	SNRPB2
YPL014W	KIF4A
NIS1	RAD1
NSA1	WDR74
RPL43B	RPL37A
SEC13	SEC13
SEN54	TSEN54
LYS2	MLSTD2
LSM8	LSM8
GDH2	LZTR1
SLF1	LARP1
RTT105	SPAG6
SLS1	TTK
PPH21	PPP2CB
ZDS2	DOCK8
NAP1	NAP1L4
VPS34	PIK3C3
NUP159	NUP214
CRM1	XPO1
HRR25	MELK
PRI1	PRIM1
POL12	POLA2
NCP1	POR
YMR099C	APBB2
COG4	COG4
CIS1	LRRN5
POB3	SSRP1
CRN1	CORO1A
SPC98	TUBGCP3
ITC1	BAZ1A
MAS1	PMPCB
MSS116	DDX46
NTH2	DDEF2
YHC1	SNRPC
SGT2	SGTA
CFT2	CPSF2
NMA2	NMNAT1
SAR1	SAR1B
ATP2	ATP5B
DLD1	LDHD
PAP1	PAPOLA
YMR031C	BAT3
CCP1	CASK
COF1	CFL1
TWF1	TWF2
CPA2	CPS1
VPS30	BECN1
NTO1	PHF17
PHB1	PHB
ALY1	CNP
ENO1	ENO3
TOP2	TOP2B
PRP19	PRPF19
DPB2	POLE2
NUP2	RANBP2
MRP49	SAR1A
CCT5	CCT5
ACC1	ACACA
NFI1	PIAS4
SQS1	RBM10
INP52	SYNJ1
MRPL9	FGFBP1
YCG1	NCAPG
CYS4	CBS
GCN20	ABCF3
MAP1	METAP1
IDP3	IDH2
RAS1	RRAS2
MCM22	TEP1
DRE2	CIAPIN1
RPS6B	ATG3
YDL089W	PKN1
UPF3	UPF3B
SFB3	SEC24C
CTF8	EIF3S6
BDH1	ADH5
BDH2	SORD
MNL1	EDEM1
NUT2	MED10
RPL27B	RPL27
OCA5	TTC17
SAC6	PLS3
CDC24	DEPDC2
BOI2	PLEKHA5
RPS24B	RPS24
RPS23A	RPS23
RPB11	POLR2J
LCB1	SPTLC1
TRP2	RASA4
THI3	FAT
ECM17	GRIN1
TAF8	TBN
FPR1	FKBP1B
UBA1	UBE1
SLA2	HIP1R
LSB3	SH3YL1
RAV2	ALMS1
CMK1	CAMK1
SAM1	MAT2A
STE11	MAP3K3
ZWF1	G6PD
PBY1	TTLL5
YEF1	NADK
IKI1	MAP2
LST8	PAFAH1B1
RSC3	CD79A
APS2	AP2S1
COX6	COX5A
XRS2	KCNJ3
MRPL25	DYNC1LI1
RPL4A	RPL4
RPO31	POLR3A
SPI1	WWP1
IDP1	IDH1
SIR3	PLCD1
RIM11	GSK3A
YPT31	RAB11B
SQT1	AAMP
MRPS16	SIVA1
ERP3	NPY5R
MRPL1	WWC1
YOR093C	DIP2A
PTC4	PPM1G
BET2	RABGGTB
COG7	ADCY6
HMT1	PRMT1
MGM1	DNM1
VAC14	PPP2R1A
MMM1	ERAF
PSP2	MYCBP2
CDC48	VCP
CRT10	TRPM6
LIA1	DOHH
MTR4	SKIV2L
RPL26A	ITGA10
STO1	NCBP1
KIN1	MARK4
SNF2	CHD3
YLR345W	ADSS
HXK2	HK1
SCD6	ARHGEF10L
UBA2	SAE2
LGE1	RACGAP1
YDR051C	CENPK
PIR1	AGC1
FBP26	PFKFB2
DYN1	DYNC1H1
AOS1	SAE1
UTP8	CSNK1E
MRPL17	DCLRE1C
CLC1	RYR1
EDC3	CDAN1
BMS1	MTIF2
RSM7	TPH1
RPS7B	CPB2
RPA135	POLR1B
TAF1	TAF1
RPL16B	MAGED1
YHR131C	MAD2L2
CDC53	CUL1
PIH1	NOP17
BFR2	AATF
SRP40	MTSS1
SPT7	TRIM24
CNB1	PPP3R1
MGE1	GRPEL1
SRB7	SURB7
TFG2	GTF2F2
MGM101	USP54
BRR2	DDX20
LOC1	SCN8A
GAR1	NOLA1
PRX1	PRDX6
NTH1	FLNB
FAR1	NOMO1
MRPS35	PLEKHM1
UTP10	HEATR1
VPS1	DNM2
RBG2	DRG2
TPS2	NELF
TSL1	UTY
HST1	SIRT3
GIS2	ZCCHC13
APM1	AP1M1
APM2	AP1M2
TAP42	IGBP1
SSK1	PHKB
TCB1	PRKCB1
LTV1	PKD1
CDC28	CDK3
YNL276C	ITLN1
KIN28	CDK7
ORC4	ORC4L
SIW14	PTPN5
YCS4	NCAPD2
NUP85	EGF
ADH2	CRYZ
RAD52	RAD52
SKP1	SKP1A
ECM5	JARID1A
PAF1	EP300
CTI6	CREBBP
UBP8	USP22
PET123	PPFIA3
TRM82	WDR4
NUP60	NCOA6
GYP5	RABGAP1
RAD7	FBXL20
CRP1	GIT1
ROM2	NET1
HAT2	PEX7
HOM6	KIF6
GDH1	GLUD2
ATS1	HERC5
LCD1	CCNT1
MSS51	NOX4
HSP78	CLPB
PRS3	PRPS2
SSA1	HSPA1A
YLH47	LETM2
LSP1	ERC2
LAT1	DLAT
LPD1	DLD
DBP10	DDX17
SGF29	CCDC101
RSM27	GRIK2
GIM5	PFDN5
MAK21	CEBPZ
POP2	CNOT8
CDC39	CNOT1
SPG5	HSP90B1
CDC36	CNOT2
FBA1	NAPA
PSR1	CTDSPL
RPL35A	GPC3
CLP1	CLP1
PCF11	PCF11
YBT1	ABCB1
TFC7	ARHGEF2
SSE2	HSPA4
TVP18	MALL
AKR1	ZDHHC17
IPP1	PPA1
YOR111W	ASMTL
TAD2	MBD1
DSS4	RABIF
KRE2	ITGA11
DBP6	ASCC3L1
MAS2	PMPCA
SPT16	SUPT16H
YGL157W	NES
CDC25	SOS1
SCP160	HDLBP
RSC8	SMARCC1
ELP4	ELP4
MYO5	MYO1E
RRP42	EXOSC7
HXK1	HK3
STH1	SMARCA2
EXO70	EXOC7
SRP54	SRP54
SWA2	DNAJC6
GIR2	RWDD1
LIP2	ITGAM
TSC11	EPPK1
HAP3	NFYB
SUB2	BAT1
YLR455W	PSIP1
RPL1A	ZNF638
URH1	CUBN
CDC34	CDC34
YPT7	RAB7A
TSC10	SPR
YBL113C	MAGEE1
SSN3	CDC2L1
SOL2	GNPDA1
CPR6	PPID
MKS1	PDZD2
BOI1	CNKSR2
PHO81	ANK1
SHE9	AKAP13
TFC4	GTF3C3
ASR1	RNF111
TIP20	RINT1
ATP11	ATPAF1
ATP12	ATPAF2
SEH1	SEH1L
SPT15	TBP
RSC58	MPHOSPH1
RAV1	DMXL2
BBC1	LAMA5
MON2	ARFGEF1
ORC5	ORC5L
SES1	SARS2
SIR2	SIRT1
YMR086W	PPP1R12A
NAS6	PSMD10
PBI2	DUSP1
COG8	COG8
URA5	CR2
BUD14	NCKIPSD
MCK1	CDC7
FZO1	DIAPH1
UBP3	USP10
TCP1	TCP1
NEW1	ABCA4
RNR2	RRM2
RAD53	PRKACB
RTT101	CUL2
DBP9	DDX56
RPS3	RPS3
SEC1	STXBP2
EAF7	TXNDC11
MSI1	PRPF4
CDC19	PKM2
CSL4	EXOSC1
YLR408C	PDIA6
VAB2	PLCB2
SFH1	SMARCB1
MCM21	LAMB1
SNF6	LAMA4
RPN9	PSMD13
CDC6	CDC6
CIK1	CEP110
GIC1	RECK
MMS2	UBE2V2
ARC35	ARPC2
MAK10	SLC22A2
NEM1	CTDP1
VAS1	VARS
CUS2	HTATSF1
MAK11	PAK1IP1
SMC2	SMC2
ATG20	SNX3
CGI121	TPRKB
XBP1	GRK7
SHG1	RPGRIP1
YKR017C	ARIH1
PYC2	PCCA
DIA1	PCCB
UBA3	UBE1C
CHS6	ZNF587
ILV6	RAVER1
MKK1	MAP2K5
MCM7	MCM7
MAK31	BRCA1
MLC2	CALM3
ORC2	ORC2L
PAB1	PABPC1
SUI2	EIF2S1
MES1	MARS
ELP2	STATIP1
NHP2	COL6A2
MRPL38	BAI2
GTB1	PRKCSH
CLB2	CCNB2
PAN2	USP52
SET7	RGPD5
SPC34	DCTN1
RPL12A	NCOA3
ERP1	CENPC1
SUI1	EIF1
RSM25	PDE10A
ALD6	ALDH7A1
RPL6A	RPL6
PEP3	VPS18
BRO1	PDCD6IP
GRS1	GARS
ERG7	CHRNA2
SIP1	PGS1
RPA43	TWISTNB
DAD1	FANCE
SKT5	LRP2BP
TRP3	GMPS
AIM45	ETFA
YOR304C-A	NIN
BUD6	KIAA1217
YML082W	ELL3
ERV46	ERGIC3
NCB2	DR1
RAM1	FNTB
GDI1	GDI2
YBR137W	MYOD1
YIL096C	NCSTN
GCN2	EIF2AK4
ANP1	ANKRD11
VPS16	VPS16
KOG1	RRP9
YFR006W	PEPD
SIL1	SIL1
VMA4	ATP6V1E1
YCR043C	EXPH5
MDN1	LAMC1
SEC15	EXOC6
RPT6	PSMC5
SAC3	MCM3AP
UTP22	BRCA2
EMG1	EMG1
CAF130	MKNK1
ERD2	KDELR1
GNA1	GNPNAT1
SRP1	KPNA6
SAH1	AHCYL1
ADE17	TMEM19
PPT1	PPP5C
YGR126W	PPP1R15B
YLL032C	RPAP1
YPI1	PPP1R11
VPS27	HGS
PRP43	DHX15
PST2	USP9X
BET4	RABGGTA
FAS2	IER3
RTS1	PPP2R5D
ADD66	TNFSF5IP1
GCD10	ZZEF1
MNN9	RPS6KC1
IOC2	DIDO1
HCA4	DDX54
NSR1	PABPC4
YMR317W	FAM120B
DSN1	EIF4ENIF1
YPT1	RAB30
RSM24	MYH13
REB1	DMTF1
PKC1	PKN2
ACT1	ACTB
ELP6	DST
RPL7B	RPL7
NNF2	TPM4
PEP4	CTSD
PLP2	PDCL2
PKH1	SGK
PCA1	ATP7B
YLR072W	MTM1
TOM71	TOMM70A
TOF1	TIMELESS
CMP2	PPP3CA
FMT1	MUT
GID8	ELL2
YBP1	APC
YNL247W	CARS
RRP43	EXOSC8
NKP2	ANTXR1
PDX1	PDHX
SMC5	SMC1B
RPC40	POLR1C
LYS12	IDH3B
RPL33A	CASC5
RRP15	POM121
TIF2	EIF4A1
TDH1	PARP4
SOF1	APAF1
KTR3	IL1F7
SCW4	BAZ2A
IES3	SYT6
VID30	RANBP10
VPS13	VPS13D
STE2	MAGI3
MED7	CRSP9
RPL5	RPL5
SEC63	SEC63
PPH3	PPP4C
CSE1	IPO4
ROT2	GANAB
SSD1	ETV4
BCS1	BCS1L
DIG2	IGSF9
OLA1	GTPBP9
ADE4	CACHD1
YFL034W	FMR1
NAB6	HNRPR
YNG2	ING3
RPC31	EDD1
ATG17	EFCBP2
CTK2	CCNK
HRB1	SFRS4
RLR1	THOC2
HHF2	HIST1H4A
DGA1	MAP4K2
LSG1	GNL3L
RIM1	SSBP1
RPS22A	RPS15A
LHP1	SSB
SRP14	SRP14
RBG1	DRG1
SWC4	DMAP1
APL1	AP2B1
YJR142W	RAB3GAP2
POP1	POP1
SEC66	TREML1
BLM10	SEPT2
HMG2	PTCH1
SWR1	EP400
RFC4	RFC2
FAP1	NFX1
MMS4	CROCC
RSM23	DAP3
FET5	CP
PSD2	SYT3
RPL35B	NUP88
MRPL8	MRPL17
YER156C	LRP1B
PRK1	BMP2K
MRPL28	TRIM6
PSY4	PPP4R2
TAF11	TAF11
EGD1	BTF3
THP1	NEU3
DBP8	DDX49
PPN1	SMPDL3A
SLM5	DARS
VPS8	VPS8
SIR4	HERC1
SEC14	SEC14L2
SHE4	REV3L
NUP192	NUP205
GET3	ASNA1
MGS1	WRNIP1
IGO1	ENSA
PCS60	SLC27A5
SDS23	PRKAG1
ASN2	ASNS
ASN1	SPTA1
VTI1	VTI1A
SHE2	GCNT1
NUP53	MYPN
CDC123	PPIL2
PRE3	PSMB6
NUP170	NUP155
PTC2	PPM1B
RPS18A	RPS18
LEM3	CENPF
UTR1	PIGG
SAP155	SAPS3
TRX1	TXNL1
DIM1	DIMT1L
USO1	DSP
TRR2	TXNRD1
TAF6	TAF6
BAT2	BCAT1
CSI1	TBRG4
NAB2	ZC3H14
KGD1	OGDH
TAF10	TAF10
SNU13	NHP2L1
RPS14A	RPS14
TAF12	TAF12
YPL247C	WDR68
SEC16	LZTR2
RVS167	SH3GL2
GYL1	EVI5
ENP2	GNB2
SIN3	SIN3A
TIF5	EIF5
CIN4	ARL2
DBP2	DDX24
RPT5	PSMC3
HKR1	TNFRSF10C
CLB3	CCNB3
LUC7	LUC7L
PDC6	SIGIRR
SNF4	PRKAG2
GSY1	GYS1
RPL31B	RPL31
RTT103	KIAA0460
MKT1	EXO1
SEC3	FLOT1
LRC6	WDR37
PUF4	PUM2
FMP41	MYO1A
ADH3	MECR
SFB2	SEC24A
TDH2	GAPDH
CHC1	CLTC
PRM8	GCC1
TEL1	ATR
POL3	POLD1
SMX3	SNRPF
SDS22	PPP1R7
VPS33	VPS33A
PWP1	PWP1
MED4	CACNA1S
UTP13	TBL3
BUB2	TBC1D8
KAP95	KPNB1
OLE1	SCD
CUL3	CUL3
OCA1	EIF3S6IP
RSA4	NLE1
MRP8	RNF168
CIC1	RSL1D1
FPR3	FKBP5
PUP2	PSMA1
PRP28	DDX4
ERB1	BOP1
MYO2	MYO5B
EFT1	GFM1
VID28	TSPYL2
OCA2	PTPRJ
YPL109C	CABC1
STP22	TSG101
SUI3	EIF2S2
POL2	POLE
CDC23	CDC23
MSN5	XPO5
RXT2	DVL2
AAP1	ANPEP
PSK1	PIM2
TRM7	FTSJ1
RMD8	DNMT3A
CCR4	CNOT6
YET1	BCAP29
NTC20	FAM45B
RPN6	PSMD11
MOT2	CNOT4
LTE1	RASGRF1
CCS1	CCS
SCC2	NIPBL
SRP102	SRPRB
VID24	FN1
COR1	UQCRC1
SEC7	ARFGEF2
PTC3	PPM1A
HOC1	SNAPC4
MDY2	RAD23A
SUT1	MAN1A2
RFS1	CRB1
YME1	YME1L1
HXT4	SLC2A3
LOT5	TLN2
TRR1	GSR
IFH1	BAZ1B
REV1	REV1
RPT1	PSMC2
MRT4	TRHDE
YNR024W	KIAA1967
FRS1	VIM
ERV41	ERGIC1
SEC18	NSF
BUD32	TP53RK
PEX14	PEX14
BRE5	G3BP2
BTT1	LCN2
SSK2	MAP3K4
YGR130C	SOX6
MND2	PLXNB1
CDC73	CDC73
RAD10	ERCC1
CLN1	CCNA2
BCH2	JAK2
NOG2	GNL2
NAT1	NARG1
YHR020W	EPRS
RAD34	EIF2AK3
YML6	MRPL4
SCW11	SCN10A
YPL066W	CEP350
GCN5	PCAF
PHB2	PHB2
VID27	WDR7
UTP30	KPNA2
SNU66	SART1
SCJ1	DNAJA3
TFA2	GTF2E2
RPS17B	AMHR2
KAP104	TNPO1
RVB1	RUVBL1
TEF1	EEF1A1
CKA1	CSNK2A2
RAD6	UBE2A
TAF2	TAF2
DOC1	ANAPC10
ERP4	MAG
CAM1	TRIM3
SGF11	ATXN7L3
APM4	AP2M1
POP6	LAMA2
GLC8	PPP1R2
VAM6	VPS39
SMC1	SMC1A
ALT1	GPT
YDR282C	SPTAN1
RCO1	PHF21A
YPK1	SGK2
SEC22	SEC22B
DNM1	DNM1L
RAD4	XPC
YDR341C	RARS
TAH11	AGRIN
RNA15	CSTF2T
NOP16	WDR24
RBS1	R3HDM2
MCM5	MCM5
SDC1	NME5
SPT3	SUPT3H
YPR114W	GGTLA4
PBS2	MAP2K1
UME1	RBBP4
NIF3	NIF3L1
ATG18	WIPI2
PEP1	SORT1
NAM9	DAB2IP
UBC4	UBE2D4
YAP1	ATF7
MPH1	DICER1
PPH22	PPP2CA
DIG1	ATXN3
RPM2	CCDC22
DUG3	MAGEH1
VPS45	VPS45
CAP2	CAPZB
DUG2	CNDP1
RPS4B	FBXL11
STE50	TXK
MBA1	TRPC4AP
ECM29	KIAA0368
GND1	PGD
YLR287C	ASCL1
EMP46	CIT
ARP9	ACTR10
SPA2	GIT2
GPT2	TXLNB
ARC18	ARPC3
OGG1	OGG1
TAF3	NCAPG2
NAT5	GALNT10
SNX41	SNX4
ENO2	ENO1
POL4	POLL
RPL10	RPL10
MRPL39	NFRKB
RTN1	RTN4
LSB1	FCHSD2
ISA2	RB1CC1
TIF6	ITGB4BP
NOP4	HNRPA0
EPL1	EPC2
YTA12	SPG7
YCR102C	MYOM2
NOT5	CNOT3
RGR1	CRSP2
KAR2	HSPA8
SKI2	SKIV2L2
RSC4	CECR2
HFD1	ALDH5A1
KCC4	BRSK2
DOA4	USP8
PFK1	PFKL
ARD1	ARD1A
BUD22	CDC42BPA
TOM1	HUWE1
CYC3	KBTBD10
CHS5	NEO1
YPS7	BACE2
IRR1	STAG1
RPS18B	HPCA
NGG1	TADA3L
CLF1	SART3
SPN1	IWS1
SRO9	LARP5
RPC17	PIP5K1C
ASI3	CBLC
NUP1	NUP153
VIP1	MASP1
CTF3	SACS
RPN2	PSMD1
LSC2	SUCLA2
MVB12	POU5F1
LSM3	LSM7
YLR257W	NRIP1
PEP8	VPS26A
COG6	COG6
RPP1	RPP30
HTZ1	H2AFZ
HSP42	ABCG5
MTF2	CUTL1
RPP1B	KIAA1543
UMP1	POMP
MRS4	SLC25A36
ZRC1	SLC30A3
TSR1	LAMB3
NUM1	LAMA3
ICL1	EPB41L3
SMB1	SNRPB
RPL36B	RPL36
NBP35	NUBP1
MRPL3	MRPL44
MRPL20	RAI1
LCP5	CRYBA2
