yeast	human
LOT5	IL17RD
COG3	STRN4
LUG1	ATBF1
SRB2	SNRPG
ASC1	PML
MRT4	ABL1
MDJ1	KIR2DL3
EAF1	HNRPF
MRP20	FLNA
SCP160	FBXO2
BCP1	TIMM17A
CWC2	MAPK10
PRP19	RET
RAD50	IL17RB
KEM1	TLX2
YKU80	AMY1A
YPT7	RRAGB
SEC28	TLR6
SNF12	SAPS2
CMK1	DAZAP2
PWP1	MDC1
COQ4	STC2
YJU2	BYSL
YHL009W-B	SPOCK2
SAC1	HIF3A
SUP45	CASP4
YJR136C	NPHP4
DSN1	C1S
NOP2	HD
LSM7	PTGES3
SPT3	EPRS
SER2	MKS1
RPL4B	SELE
RPT5	LSM1
SWP82	ANKRD28
YDR282C	NRG2
IDH2	RPS6
RPL25	MECP2
SUI2	KIAA1875
MRPL19	REV3L
LAG1	GTPBP9
ORC3	CHEK2
DUO1	PPIE
VMA8	MAP1A
SRP102	MID2
PRR1	SCARF1
SLX9	PHYH
RSC6	ITGB3
YOR111W	RPS6KB1
HDA1	TP73
RAT1	WRN
RPL35A	SKIV2L
PUT1	NOD2
DCS2	PLA2R1
CCT7	CSTF1
IMD3	ERBB3
MED11	MNAT1
SLM3	PRKD3
SWC5	CHMP4B
RIO2	PHF21A
REV1	SPOCK3
IKI1	CCT6A
RPL33B	HTR4
PRP42	MKNK2
NNF2	MDFI
COX6	RYR3
DNA2	PPFIBP2
YBT1	TRIM23
YFR017C	BCKDK
RSA3	EVI5
SFH1	NTRK2
PAP1	SYNJ1
RPS16A	PIK3R2
YNL208W	RASSF8
PDR12	ANKZF1
CTF18	CCNG1
THP2	PRF1
SQT1	RPL8
YMR031C	IFRD1
SKI7	SNTA1
PPH3	IL1B
FBA1	CASP10
SSA1	PPP1R3A
HSP78	STAU1
CMP2	JAK1
CHC1	F2RL2
RPA43	FEZ2
CDC6	PIP5K3
FAS2	MAP1LC3B
CKA2	PPAN
RPL19B	TNIP1
RNR4	MYCBP2
MSP1	OAZ3
PGA2	PGR
PUF4	SFRS1
GIM5	EXOC7
MMT1	ZNF291
SEC22	ACD
VID27	TNFSF10
GIN4	LTBP3
PEP5	THOC2
VPS54	PTPN14
CDC23	CRHR1
SIN3	PPM2C
SIN4	MBD3
MCM21	GP1BA
BFR1	SH2D3A
PRP6	PPL
PEX14	IGHD
PRP45	KRT8
YAE1	PAX1
SPN1	SCG3
SKI2	TP53BP1
PTC2	CD2BP2
MRPL15	BCL6
YJR142W	RAN
RPS9B	GTF2I
DIG2	HIST2H3C
PRP9	MAP3K7
RTF1	CD3EAP
AAP1	MYO18A
STE23	ALOX12
FET5	ADIPOQ
TRA1	SYNCRIP
RPS21A	ELP4
MIS1	RPS9
SES1	AMOT
RRN6	CREB3L3
LAS17	IGHG1
GDH3	GCN5L2
RPB2	IRF5
DIP2	RBBP4
VPS33	BAT1
YMR118C	UCHL5IP
YMR310C	TOPORS
PRP31	EPAS1
PHO80	PPP1R15A
PBY1	FABP3
CTM1	C1orf165
NUP192	CDC2L6
BUD9	TFAP2A
ATP22	RFX5
FZO1	IFT88
SPC25	SPBC24
CTK2	SPTBN4
YHR122W	PABPC3
ARC1	CARD6
OKP1	ICAM4
PUP2	PSMB7
KEL2	SP140
ICL1	ZFYVE20
SPT5	CCAR1
KRI1	RAD50
MRPS8	MED11
NUP57	ABCB11
VMA5	NOB1
NAB6	EFNA4
HSC82	RBMY1A1
MSH6	SIRT1
GPM1	LSM7
NUP159	ABCB1
SDA1	COPS2
TAO3	ABCA4
VMA10	RPS15
POL2	ELF1
YPR036W-A	TM9SF2
URA10	CACNB3
ABZ2	CD1C
UBP13	PICK1
YDR049W	NME4
PUF6	MPHOSPH6
COX9	EXT1
ZRC1	MSH5
RLP24	PRPF40B
PSY4	SFN
SRP21	CXCR3
RFA2	PPFIA1
RAD23	DMRTB1
SNT2	VPS11
UBA3	ZFYVE9
VMA4	EIF4A1
PDR15	PTGFR
TRM8	ECE1
RPL1A	GNAI2
LUC7	MAP3K2
RPL34A	MIA
RPL36B	MARK2
YLR455W	SPCS2
GEA1	CR2
RMD5	IKZF2
PHO86	HOXD4
MET10	PRG2
IMG2	TEK
PRP40	CHAF1A
RFC5	COX5A
VPS52	DSC2
YPR091C	CASP3
IES2	KTN1
YDL156W	SEH1L
TPS1	TRAIP
RAD4	PRMT2
NQM1	NDUFS1
AMN1	DEDD2
YKL088W	BXDC2
RPB7	ATM
DIS3	FURIN
YER156C	ELF4
TOA2	MKL1
MYO2	VPS4B
GLE2	HCLS1
YLR408C	NCAPD2
FBP26	RASGRP2
COX5A	EXT2
RRP42	TRIP4
HMT1	FAM86A
RLR1	TNFRSF19
ORC2	EEF1E1
TAD2	LEFTY2
ECM30	LSM8
YPL109C	PBLD
PRK1	STCH
ISD11	FOXP4
DBP8	IPO11
PRE5	PSMB5
PDR17	RLBP1
PET9	USP21
PFS2	KHDRBS1
LSP1	FBXL11
MSB2	MUC2
YLR173W	ALG2
SRL3	SUCLG1
DEF1	HTR1D
CDC39	ATXN3
APL1	KLHDC4
PEP12	TRAM1
CRM1	SMN2
CDC53	PCNT
SLX5	KRT20
ECM10	CDC34
SLM1	UBQLN2
RSC9	PDCD7
PAB1	MAP2K4
PCS60	MCC
PRE3	PSMA7
PNO1	PPARGC1A
NFI1	GABRB1
PMA1	RFC2
MPE1	CD34
MMS21	RXRB
ECM16	SMARCA4
POL4	RPS13
PDX1	TNFSF8
NUT1	ZFHX1B
DUG2	LSM4
DPB2	PACSIN2
LCB2	STT3A
RPL24A	SMAD2
APC9	IL10RA
RTN1	MT-ND1
MRPL8	SMARCD1
ADA2	HSP90AB1
PEP3	DDX39
POP3	RPP38
LYS21	DUSP10
SWI1	PPP6C
ARP2	FBXW2
YPI1	MLLT4
ISY1	EEA1
UTP20	NFKB1
CRD1	C18orf24
GLC8	EVL
RPC31	MPP5
RPB5	PARD6A
RPT1	FBL
DCP2	AIP
KCS1	AMIGO1
MLH2	GSTM3
BRL1	SMAD6
MCM22	CFH
GPI10	CHRNA2
NDI1	LIMD1
GCD14	MEGF8
RPL13B	PRKCD
GNA1	PSMD6
SSA2	HAPLN1
SOH1	LRP1
RPL9A	PRKDC
SEC31	NPPC
YMR086W	DMP1
MRPL6	COPB2
SEC13	MME
YOL087C	GFI1
HRK1	IPO13
SAC6	UBE2D2
HSE1	KIAA1279
SEC65	INHBA
PRE8	PSMB9
TKL2	PRPF18
SGN1	BCL7A
RLI1	PITPNA
TRM11	RXFP2
RPS4A	RBBP7
ASR1	TBKBP1
RXT3	MLPH
RPS0B	MAP3K14
MTF2	ACTB
NGG1	PBX1
RPN5	PLK1
SEC20	WHSC2
TPS3	HIVEP3
PHM8	TOLLIP
PRP18	C5orf22
RFC2	COX4I1
COX20	HNRPA0
THP1	PLK2
DDI1	GRID1
PRO1	CKB
SWS2	THRAP2
SKI3	NAGPA
GCD11	C6orf167
HOC1	TRPC5
GLG1	SEPT4
YDL173W	CACNA1E
MED6	ERBB2
TRM112	INSL3
SVF1	MDH1
SHE3	REPS2
CYM1	ARFGAP1
NUP85	TCF3
DBP6	IVNS1ABP
TRS23	DBF4
FAP7	LRPPRC
YMR291W	PDE4D
PDR1	CLNS1A
TFC8	GP2
CCS1	ATOX1
RMP1	RPP21
LEO1	UBTF
RPA12	SUGT1
UTP5	WDR6
SOG2	SLIT3
SYF1	DDIT3
ARP3	MMP1
HKR1	C11orf30
ATG1	WDTC1
HAT1	SPN
ADE13	C8orf32
TOS4	RAB35
MRPL39	STAT6
YCF1	PSME3
SNF1	UBAP2L
GIM3	EXOC1
TSC10	RPS11
RNH202	POLR3E
UTP6	BOP1
ARP6	PIAS2
IRR1	ARMC7
MUK1	BRWD1
MRPL24	NFKBIA
RPS3	KIAA0737
SNF4	ASCC3L1
RPS20	PRELP
SPF1	UPF3B
KTI11	IL3RA
CDC25	MAGOH
RPS25B	PIK4CB
SPT8	EXOSC3
OXR1	EIF1
CDC24	AP3S1
PCA1	GPSM3
NAB3	SMARCC1
ATP11	TRIM7
YPT52	BNIP3L
GET3	GSTZ1
LAA1	CMTM3
CSN12	FOXO3A
RPN8	DCP2
CEF1	PRKD1
MUD1	PIK3R1
HHF1	GAB1
STE50	CX3CL1
TAP42	NCAPG2
MRPL13	STK11
EAF7	HNRPH2
RAD16	NLRP4
NSA1	PEX5L
MRP17	ARPC2
PHB2	SUPT4H1
YIL001W	ANKRD23
EGD2	RPS3A
MTR10	RPP14
UBA2	UBE1DC1
UTP13	PPP2CB
EMG1	SPEN
YHM2	LDHD
ROM2	LYL1
LSG1	APCS
PAN1	BIRC3
EPL1	CD5
YLL023C	LRG1
HIR2	PKIA
RPC40	IL4R
SEC7	RASSF1
TUB1	LMO2
RPL20A	RCOR1
CSR1	CLDN5
YJL049W	BCL2L1
MSH2	ERC2
RPS9A	PA2G4
PTC1	DIS3
YHR131C	WDR12
AMD1	CLTCL1
RPT6	PSMD1
YMR262W	RAB9A
YML081W	ZNF510
ESF2	ADAMTS4
MCK1	RPGR
DAK1	FLAD1
TMA46	JPH2
TAF3	PKNOX1
ADD66	PSMD3
LSC2	HOMER1
APC2	IL10RB
CIS1	TCEA1
RPL38	ITGB2
MYO4	COG5
ISA2	RPL17
ASN2	RECQL5
UME6	TRIM2
PBP4	AKAP4
MAP1	TOP3B
TYW3	IFNA1
MSS51	COPB1
SPE4	SRPR
RVS167	ID1
FAR11	VPS39
ROX1	PCLO
SEC63	FAS
PEX5	CELSR3
BUD4	PZP
RSR1	NONO
PAP2	MLLT1
FMP27	ELL
RGP1	CLIP2
RSM10	THRAP6
RPS18A	BRCA1
CAP1	FBXW5
BRO1	EMILIN2
PBI2	RAB3GAP1
GPT2	B4GALT1
YGR130C	CSTF2
YEF1	LRP4
RAD1	AKAP1
HXK2	C9orf89
DBP10	ARAF
SNF6	AZI2
COG2	VCL
RPA14	TXNL2
RSC8	EPOR
VAM6	THOC1
ILV6	MMP7
PST2	ASCC3
VPS27	PLEKHF1
SPP381	TRIM33
FKS1	SUPT5H
PUF3	TIMP3
TUP1	CNTNAP2
HMO1	IL1RAP
MIR1	EXOSC8
TAZ1	SLK
LSM5	SH2B2
DBR1	ENO3
YHR020W	JUND
TAF1	PRDX3
PBS2	TAL2
KRR1	SNRPD2
NMA1	ANTXR2
ARO3	SPTLC2
ROT2	TSEN54
TCB1	DVL3
ISW1	UPF1
NAT5	MYO9B
ERV46	TSEN34
URB2	TNPO3
AIM30	DTX2
YML131W	PKD2
MCM7	ABCB8
KRE2	TMEM9B
RPS24A	ZUBR1
PEP4	DHDDS
TFC6	GRB2
UTP18	ARID4B
DBP2	TPX2
MAP2	ZMYND11
PSE1	PHYHIP
DIB1	ARNT
DST1	TXLNA
ATP5	YWHAB
AIM45	PIAS1
UTP8	ARHGEF2
RSM7	CRSP6
TIF35	STAMBP
HAP2	GNB1
MRPL3	IQGAP2
RPS13	DAAM1
RFM1	EHD1
PSF3	CEL
RPL23B	TIMM44
COG4	MIF
NOP1	YWHAH
CRT10	SEC13
ORC5	RAD17
DRS1	MED8
TIF2	GRB10
LSC1	DNM3
PXR1	CHD6
HIR3	PRKACB
VPS15	NEK2
DBF4	CTTNBP2
NOP15	MLF1
LRC5	ACE2
CPR4	NSMAF
HCR1	SUMF2
RAD18	LNX2
TFP1	UPF2
RSP5	IFI16
ADH7	SMAD3
KIC1	ROBO2
YMR209C	KNTC2
YMR185W	XPC
COG7	HLA-DMA
RPS1A	KIAA0310
YPL206C	LMBR1L
LYS2	DUOX1
MAK5	RSU1
APM4	CFL1
FAS1	TRAF3IP2
SEM1	GTF2F1
ATG4	SQSTM1
SDS3	MYO5A
FOL3	BFAR
NTH2	IPO9
TCM62	SAT1
CET1	TLOC1
SWI4	INVS
AHC2	LIN7C
MRPL16	POLR1A
MRPL36	COPS4
RPL14A	FBXO32
EAF3	FMR1
MNN10	TYK2
MED7	DLG4
RNR2	MXI1
SME1	RUNX2
IML1	PPP4C
NAT1	LRRC41
HFI1	UBE2E1
HEK2	FLYWCH1
BRE1	MMP12
IFH1	RAP1B
TPD3	ARF4
RPS24B	MTA2
YOR304C-A	LMAN1
CIN8	NEK1
HXK1	BCL10
RPS19B	ARFGEF2
MDM20	SEC23A
TDH3	TNKS
PMR1	CCNT1
CDC123	AXIN2
SIC1	KLHL3
ECM17	CSF2
CBF5	PTBP1
ATG13	TFEB
CKA1	PPP1R16A
OGG1	CELSR2
NSP1	HAX1
ACK1	GABBR1
MMS2	UBE2E2
THS1	EDARADD
YPL225W	MSH3
VPS36	PDZD3
GYP5	NUB1
URH1	PSMD13
SEN54	TNFSF13B
SGV1	ACR
YNR024W	KCNAB1
SWD3	CORO2A
PKH1	SKP2
DAD2	RBBP5
ESC8	PLEKHB2
MYO3	L3MBTL2
ARC18	MMP8
LOC1	KCNJ1
ENO1	DSG1
RPS2	GAS8
HRR25	CCT5
YGR149W	INDO
DPH5	PIP
MAS1	DKC1
BRX1	BXDC5
PEX17	BCAP29
LSM2	MAP3K4
TRM7	KIAA0556
MGM1	ZH2C2
SWI6	BZRAP1
MRPS35	VPS4A
RIM1	HAND1
POP5	RPP30
NIF3	IFIT1
POB3	MST1R
NFS1	FOXP2
RAM1	JMJD5
RSM18	CRSP9
SSZ1	CFLAR
SIR4	PIP5KL1
ELP3	CCT7
HEH2	GGTL3
MTR3	RALA
SPA2	EIF5B
TEF1	GRB14
MGS1	NDN
TRS33	MCM7
IOC3	TNFRSF10B
TAF2	RPS6KC1
TPK1	SLC24A1
IMD2	DDX1
CWC22	MARS
NUP53	NAV2
VPS34	YWHAG
CLP1	FCER2
VMA22	PIGK
RTG2	RAB11A
VAC8	PIGS
IPP1	GABBR2
BBC1	GGN
SKN1	POLR2I
SEC39	POT1
NPL3	TNFRSF11A
CTF19	GP9
AFG3	ANXA5
SPS22	CREB3L1
MED4	MBD2
TAF13	CCDC88
MED2	GATAD2B
SMC1	NRG1
YGL036W	FGF2
GYL1	AIPL1
SEC26	TLR10
PAC10	ZC3H14
TRS20	POLR2F
KCC4	C9orf9
OLA1	BCL3
SNU114	HNRPK
SRB4	EIF3S6
PRE9	PSMB2
YTH1	CHST4
ATS1	CISH
BNI1	RGS1
ECM29	EXOSC6
