yeast	human
RPL28	PXN
RPL14B	STAT5A
ROX3	PPAN
MED2	DDX18
RPS9B	JAK3
RPL32	DOK1
HSP26	PAFAH1B2
YDJ1	PAFAH1B3
RPS11A	PTK2
RPS9A	NEDD9
UTP13	PPP2CB
BMS1	MARK2
KAP95	MEIS1
SRP1	TCF3
RPS0A	EPHA2
RPS0B	EPS8
RPL6A	PRKCD
RPL31B	CD19
RPL18A	HNRPK
MRP51	GNGT2
MRPS16	KCNJ5
RPL25	PDGFRB
RSA4	SIN3A
PRP8	NFKBIA
LSM2	RELB
SMD1	POLR1E
SMX2	RPL8
RPN10	EXOSC10
SEM1	EXOSC5
PRP46	COPB2
PRP43	PTPN12
AIR2	HEXIM1
NRD1	PIN1
RPL8B	ABL1
HCA4	PRKD1
YCR102C	TFIP11
YNL134C	TUFT1
RSC6	MAPT
HTA1	GZMB
NOP1	IGF1R
MAK5	ERBB2
RPS6B	GAB2
RPL42B	LAT
TFC6	RAB6A
TFC8	DCTN2
RPS11B	KIT
RPS15	STAT5B
RPT1	NCOA1
RPN13	UBQLN4
NOP2	AR
URB1	PTEN
RSA3	HBA1
NOP7	HDAC1
RPL3	PTK2B
IMD1	CSF3R
GSP1	RLN2
GSP2	RXFP1
RSC58	CASP2
RSC9	APP
RPS2	FLT1
RPL26A	IL7R
MRPL1	SET
LRC4	POLA1
RPO31	ERBB4
MAF1	HAPLN1
SEN1	SUPT5H
SRO9	IRS4
NGG1	RAC2
TAF7	ARFIP2
ARP9	JUP
RPA135	HNRPH2
RPA14	FGF7
RPS7A	LCK
RPL5	CRK
RPB2	PABPC1
TAF14	TLN1
ARP7	DSP
NSR1	ANXA2
RPS7B	IL2RB
RPS23A	YES1
PRP4	LRPPRC
SPP381	CDC34
PRP6	SKP1A
DIB1	POLR1A
MPP10	YWHAQ
IMP4	CYFIP2
RPL20A	JAK1
RPL1B	ESR1
GCD6	LRP1
SUI2	ITGA6
KRR1	YWHAH
KRI1	GRB7
RPL35B	HCK
MED1	RPS3
SRB8	NOL5A
SMD2	IKBKB
LSM7	RPL30
RPL12B	LCP2
RPS22B	YWHAB
SSN2	RPL17
MMS2	AMIGO2
SIP5	AMIGO3
RSM23	GNG10
MRPS17	MCF2
RPL36A	CRKL
RPS3	INSR
NUP60	PBX1
TRS23	DMPK
KRE11	GABARAP
RPL24A	RET
DRE2	TSC22D4
TAH18	ZMYND10
USE1	GRID2
ADH1	BMPR2
PUF4	PECAM1
MRP4	GNG7
MRPS9	GNG8
YDR415C	PCCA
UBA1	PCCB
RPL13A	PTPN1
VID24	CLK1
RPL4A	PTPN11
RPP0	GHR
RPL15A	MAPK3
RPS25A	PRKCZ
PUF6	AKT1
CIC1	SMAD3
RLP7	CSNK2A2
NSA2	ZBTB16
MRPS28	KCNJ3
EHD3	SURF5
LSM6	NFKBIE
RPS14B	CD5
SIK1	MST1R
RPS13	SHC1
NOB1	MATK
SPC19	NLRC4
DAM1	CASP5
DRS1	SP1
FPR4	ATF2
RPP2A	IFNAR1
BFR1	MAP4K1
ERB1	MDM2
ARX1	TGFBR2
KAP123	MYOD1
CLU1	PTBP1
MRP13	EIF3S1
TIM44	LRRC41
RPS1A	LYN
SBP1	IL4R
NOG2	SMURF1
SRB2	RPL7
PGD1	DDX1
SRB4	DDX21
NOP12	HSP90AA1
SDA1	ASH2L
RPL27B	PIK3R1
RPL16B	PLCG2
RPS4B	STAT1
MSH2	TRIM39
ROX1	TRIM17
RPL20B	PTPN6
RPL31A	SOS1
YEF3	BMPR1B
OLA1	SF3B2
MED11	MYBBP1A
BRR2	IKBKG
RSE1	CUL1
RPL7B	ZAP70
ABF2	CTNND1
HSH155	FBXW11
PDC1	EEF1A1
DHH1	RPL6
PRP38	TNIP2
CDC48	CELSR3
UFD1	RGMA
RPL18B	PDGFRA
SNU71	USP9X
RPS24B	EPOR
RRS1	FOXO1A
PFS2	NCKAP1
RPL4B	SOCS1
RPA190	FGF4
RPC10	SDC1
RPP1A	SORBS1
CDC16	KIF3B
APC1	RPGR
RPS4A	GRB2
RRP12	YWHAE
VPS29	LRP2
VPS17	ALB
RPL2A	SH2B2
IMP3	TSC1
YLR003C	MAPKAPK2
TFG2	HOMER1
GAR1	PDPK1
RPL1A	GAB1
RPL9A	NCK1
TAF6	RAC1
RPS1B	RAF1
CTR9	FHL3
CDC73	C14orf1
SYF1	IKBKE
ADA2	TUBA1
MED7	RPLP0
MCM22	BAX
NKP2	SFRS9
EDC3	COL4A3
PBY1	COL4A3BP
RPS6A	INPP5D
NAB3	CDK9
RPL38	ITK
SOH1	GAS8
HOS4	CCL5
SET3	TWIST1
EFB1	ACVR1
TEF2	ACVR2B
STO1	EIF2AK2
CWC23	FBXW7
CEF1	TNIP1
RPS24A	CSF2RB
CBC2	RIPK1
UTP7	PDRG1
SNL1	YIPF2
YLR173W	YIPF6
KRE33	IRS2
RPL16A	BLNK
DED1	GNB2L1
NIP1	TRIP6
TYS1	IL27
SKT5	LAMB1
RPS8B	IRS1
NOP15	CASP3
RPL7A	VAV1
MRPL35	TOP1
MRPL22	RCC1
RPL30	PTPRC
SRP72	HLA-DMB
SRP21	CD74
SNP1	MAP3K14
TIF4631	FBL
CRP1	HCRTR2
YMR196W	CD200
SPT7	CYBA
COG8	RPH3AL
COG3	RAB27A
RPL11B	PLCG1
RPL26B	TYK2
COG4	RAB8A
SOF1	SFN
YPL183W-A	CCNA2
YHC1	BIRC2
CHL4	TES
CFT2	ABI1
ATP2	FMR1
SAR1	RANBP9
SKI3	SH3KBP1
RVS161	LIN7B
CRN1	EPB41
NAM8	CFLAR
SMB1	NFKB2
RPS18A	BCR
