Entry	Gene names	Entry name	Gene ontology IDs	Organism	Protein names
Q9PI62	accA Cj0443	ACCA_CAMJE	GO:0005524; GO:0003989; GO:0009317; GO:0006633; GO:2001295	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)
Q9PPL8	ackA Cj0689	ACKA_CAMJE	GO:0005524; GO:0008776; GO:0006085; GO:0005737; GO:0000287; GO:0006082	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Acetate kinase (EC 2.7.2.1) (Acetokinase)
Q9PMP8	acpS Cj1409	ACPS_CAMJE	GO:0005737; GO:0006633; GO:0008897; GO:0000287	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)
Q9PI64	acpP Cj0441	ACP_CAMJE	GO:0000036; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Acyl carrier protein (ACP)
Q9PMD2	acsA acs Cj1537c	ACSA_CAMJE	GO:0016208; GO:0005524; GO:0003987; GO:0019427; GO:0046872	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)
Q0PAS0	fba fda fdaC Cj0597	ALF_CAMJE	GO:0004332; GO:0006096; GO:0008270	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)
Q9PP26	alr Cj0905c	ALR_CAMJE	GO:0030632; GO:0008784; GO:0030170	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Alanine racemase (EC 5.1.1.1)
Q9PP04	pepA Cj0929	AMPA_CAMJE	GO:0004177; GO:0005737; GO:0030145; GO:0008235	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)
Q9PP06	apt Cj0927	APT_CAMJE	GO:0044209; GO:0003999; GO:0006168; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
Q9PIR8	argB Cj0226	ARGB_CAMJE	GO:0005524; GO:0003991; GO:0006526; GO:0005737; GO:0006561	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)
Q9PIS0	argC Cj0224	ARGC_CAMJE	GO:0003942; GO:0051287; GO:0006526; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)
Q9PIR7	argD Cj0227	ARGD_CAMJE	GO:0003992; GO:0006526; GO:0005737; GO:0030170	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)
Q46104	argH Cj0931c	ARLY_CAMJE	GO:0042450; GO:0004056; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
P0C630	aroA Cj0895c	AROA_CAMJE	GO:0003866; GO:0009073; GO:0009423; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)
Q9PNT2	aroB Cj1008c	AROB_CAMJE	GO:0003856; GO:0009073; GO:0009423; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	3-dehydroquinate synthase (EC 4.2.3.4)
Q9PM41	aroC Cj1634c	AROC_CAMJE	GO:0009073; GO:0009423; GO:0004107	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
Q9PJ53	aroQ Cj0066c	AROQ_CAMJE	GO:0003855; GO:0009073; GO:0009423	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)
Q9PHK7	argG Cj0665c	ASSY_CAMJE	GO:0005524; GO:0006526; GO:0004055; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
Q9PNQ6	ate Cj1035c	ATE_CAMJE	GO:0004057; GO:0005737; GO:0016598	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Putative arginyl-tRNA--protein transferase (Arginyltransferase) (R-transferase) (EC 2.3.2.8)
Q0P952	atpB Cj1204c	ATP6_CAMJE	GO:0016021; GO:0005886; GO:0042777; GO:0046933; GO:0045263	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)
Q9PJ21	atpA Cj0105	ATPA_CAMJE	GO:0005524; GO:0015991; GO:0005886; GO:0042777; GO:0046933; GO:0045261; GO:0046961	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Q0PC30	atpD Cj0107	ATPB_CAMJE	GO:0005524; GO:0015991; GO:0005886; GO:0042777; GO:0046933; GO:0045261	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
Q0PC33	atpH Cj0104	ATPD_CAMJE	GO:0005886; GO:0042777; GO:0046933; GO:0045261	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)
Q9PJ18	atpC Cj0108	ATPE_CAMJE	GO:0005524; GO:0005886; GO:0042777; GO:0046933; GO:0045261; GO:0046961	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)
Q9PJ20	atpG Cj0106	ATPG_CAMJE	GO:0005524; GO:0005886; GO:0042777; GO:0046933; GO:0045261; GO:0046961	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)
Q0P9W3	atpE Cj0936	ATPL_CAMJE	GO:0015991; GO:0015986; GO:0015078; GO:0016021; GO:0008289; GO:0005886; GO:0045263	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)
Q0P7U6	bioB Cj1685c	BIOB_CAMJE	GO:0051537; GO:0051539; GO:0009102; GO:0004076; GO:0005506	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Biotin synthase (EC 2.8.1.6)
Q9PIJ1	bioD Cj0308c	BIOD_CAMJE	GO:0005524; GO:0009102; GO:0005737; GO:0004141; GO:0000287	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)
Q9PMG8	carA Cj1494c	CARA_CAMJE	GO:0044205; GO:0006207; GO:0005524; GO:0006526; GO:0004088; GO:0006541	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)
Q9PIL7	carB Cj0279	CARB_CAMJE	GO:0044205; GO:0005524; GO:0006526; GO:0004088; GO:0000287; GO:0030145	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)
Q0P899	cas2 Cj1521c	CAS2_CAMJE	GO:0051607; GO:0004521; GO:0043571; GO:0046872	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	CRISPR-associated endoribonuclease Cas2 (EC 3.1.-.-)
Q0P897	cas9 Cj1523c	CAS9_CAMJE	GO:0003677; GO:0003723; GO:0051607; GO:0004519; GO:0043571; GO:0046872	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	CRISPR-associated endonuclease Cas9
Q59296	katA Cj1385	CATA_CAMJE	GO:0004096; GO:0020037; GO:0042744; GO:0046872; GO:0006979	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Catalase (EC 1.11.1.6)
